base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
5.9485,3.54592,0.074966,1.645,-1.33725,-2.22329,0.426563,1.55733,-1.55471,-1.34919e-16
5.9453,3.52695,0.0640329,1.63406,-1.35821,-2.20813,0.43236,1.5792,-1.55455,0.0135247
5.94184,3.50797,0.0531244,1.62315,-1.37901,-2.1926,0.43763,1.60101,-1.55438,0.0270953
5.93811,3.48899,0.0422411,1.61227,-1.39966,-2.17669,0.442377,1.62278,-1.55421,0.0407185
5.93413,3.47001,0.0313836,1.60141,-1.42014,-2.16043,0.446606,1.64449,-1.55405,0.0544015
5.92988,3.45105,0.0205526,1.59058,-1.44044,-2.14384,0.450324,1.66616,-1.55388,0.0681517
5.92537,3.43211,0.00974847,1.57978,-1.46056,-2.12691,0.453539,1.68776,-1.55372,0.0819761
5.92061,3.4132,-0.00102817,1.569,-1.48048,-2.10968,0.45626,1.70932,-1.55355,0.0958819
5.9156,3.39433,-0.0117769,1.55825,-1.50022,-2.09216,0.458496,1.73081,-1.55338,0.109876
5.91034,3.3755,-0.0224974,1.54753,-1.51976,-2.07436,0.460261,1.75226,-1.55321,0.123965
5.90484,3.35673,-0.0331893,1.53684,-1.53909,-2.0563,0.461565,1.77364,-1.55304,0.138156
5.8991,3.33802,-0.0438524,1.52617,-1.55822,-2.03799,0.462422,1.79496,-1.55287,0.152454
5.89313,3.31938,-0.0544865,1.51554,-1.57715,-2.01945,0.462846,1.81623,-1.5527,0.166866
5.88695,3.30081,-0.0650915,1.50493,-1.59587,-2.00069,0.46285,1.83744,-1.55253,0.181397
5.88055,3.28233,-0.0756674,1.49436,-1.61439,-1.98172,0.462449,1.85859,-1.55236,0.196052
5.87394,3.26394,-0.0862141,1.48381,-1.6327,-1.96256,0.461656,1.87969,-1.55218,0.210836
5.86714,3.24564,-0.0967317,1.47329,-1.65082,-1.94321,0.460486,1.90072,-1.552,0.225754
5.86015,3.22745,-0.10722,1.4628,-1.66874,-1.9237,0.458954,1.9217,-1.55182,0.240811
5.85298,3.20936,-0.11768,1.45234,-1.68647,-1.90403,0.457072,1.94262,-1.55164,0.256009
5.84564,3.19139,-0.128112,1.44191,-1.70401,-1.8842,0.454854,1.96348,-1.55146,0.271353
5.83814,3.17353,-0.138514,1.43151,-1.72136,-1.86424,0.452314,1.98429,-1.55127,0.286846
5.8305,3.1558,-0.148889,1.42113,-1.73853,-1.84414,0.449465,2.00504,-1.55108,0.302492
5.82271,3.1382,-0.159236,1.41079,-1.75553,-1.82391,0.446319,2.02573,-1.55089,0.318292
5.81479,3.12074,-0.169555,1.40047,-1.77236,-1.80357,0.442887,2.04637,-1.55069,0.33425
5.80676,3.10341,-0.179846,1.39018,-1.78901,-1.78311,0.439182,2.06695,-1.55049,0.350368
5.79861,3.08621,-0.190107,1.37991,-1.80551,-1.76255,0.435215,2.08747,-1.55029,0.366646
5.79038,3.06917,-0.200331,1.36969,-1.82185,-1.74188,0.430996,2.10792,-1.55008,0.383085
5.78208,3.05226,-0.210499,1.35952,-1.83804,-1.72112,0.426535,2.12825,-1.54987,0.399677
5.77377,3.03547,-0.220555,1.34947,-1.85408,-1.70027,0.42184,2.14836,-1.54965,0.416403
5.76552,3.01878,-0.230392,1.33963,-1.86999,-1.67932,0.416919,2.16804,-1.54944,0.43322
5.75757,3.00209,-0.239697,1.33032,-1.88575,-1.65829,0.411772,2.18665,-1.54923,0.45
