base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,-9.85348e-17,1.57,-0.8678,-2.2043,-0.0347,1.6315,-4.43252e-18
1.99391,2.97278,-0.00150188,1.5685,-0.847123,-2.14899,-0.00765847,1.62593,-0.0522276
1.98783,2.94557,-0.00300377,1.567,-0.826446,-2.09369,0.0193831,1.62035,-0.104455
1.98174,2.91835,-0.00450565,1.56549,-0.805769,-2.03838,0.0464246,1.61478,-0.156683
1.97565,2.89113,-0.00600754,1.56399,-0.785093,-1.98307,0.0734661,1.6092,-0.20891
1.96957,2.86391,-0.00750942,1.56249,-0.764416,-1.92776,0.100508,1.60363,-0.261138
1.96348,2.8367,-0.0090113,1.56099,-0.743739,-1.87246,0.127549,1.59806,-0.313366
1.9574,2.80948,-0.0105132,1.55948,-0.723062,-1.81715,0.154591,1.59248,-0.365593
1.95131,2.78226,-0.0120151,1.55798,-0.702385,-1.76184,0.181632,1.58691,-0.417821
1.94522,2.75504,-0.013517,1.55648,-0.681708,-1.70653,0.208674,1.58133,-0.470048
1.93914,2.72783,-0.0150188,1.55498,-0.661032,-1.65123,0.235715,1.57576,-0.522276
1.93305,2.70061,-0.0165207,1.55347,-0.640355,-1.59592,0.262757,1.57019,-0.574504
1.92696,2.67339,-0.0180226,1.55197,-0.619678,-1.54061,0.289798,1.56461,-0.626731
1.92088,2.64617,-0.0195245,1.55047,-0.599001,-1.4853,0.31684,1.55904,-0.678959
1.91479,2.61896,-0.0210264,1.54897,-0.578324,-1.43,0.343881,1.55346,-0.731186
1.90871,2.59174,-0.0225283,1.54746,-0.557647,-1.37469,0.370923,1.54789,-0.783414
1.90262,2.56452,-0.0240301,1.54596,-0.53697,-1.31938,0.397964,1.54232,-0.835642
1.89653,2.53731,-0.025532,1.54446,-0.516294,-1.26407,0.425006,1.53674,-0.887869
1.89045,2.51009,-0.0270339,1.54296,-0.495617,-1.20877,0.452048,1.53117,-0.940097
1.88436,2.48287,-0.0285358,1.54145,-0.47494,-1.15346,0.479089,1.52559,-0.992324
1.87827,2.45565,-0.0300377,1.53995,-0.454263,-1.09815,0.506131,1.52002,-1.04455
1.87219,2.42844,-0.0315396,1.53845,-0.433586,-1.04284,0.533172,1.51445,-1.09678
1.8661,2.40122,-0.0330414,1.53695,-0.412909,-0.987535,0.560214,1.50887,-1.14901
1.86002,2.374,-0.0345433,1.53544,-0.392232,-0.932228,0.587255,1.5033,-1.20123
1.85393,2.34678,-0.0360452,1.53394,-0.371556,-0.87692,0.614297,1.49772,-1.25346
1.84784,2.31957,-0.0375471,1.53244,-0.350879,-0.821613,0.641338,1.49215,-1.30569
1.84176,2.29235,-0.039049,1.53094,-0.330202,-0.766305,0.66838,1.48658,-1.35792
1.83567,2.26513,-0.0405509,1.52943,-0.309525,-0.710998,0.695421,1.481,-1.41015
1.82958,2.23791,-0.0420528,1.52793,-0.288848,-0.65569,0.722463,1.47543,-1.46237
1.8235,2.2107,-0.0435546,1.52643,-0.268171,-0.600383,0.749504,1.46985,-1.5146
1.81741,2.18348,-0.0450565,1.52493,-0.247495,-0.545075,0.776546,1.46428,-1.56683
