base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
5.9485,3.54592,0.074966,1.645,-1.33725,-2.22329,0.426563,1.55733,-1.55471,-6.00362e-14
5.97957,3.51498,0.124865,1.69545,-1.33322,-2.22673,0.426019,1.45698,-1.55548,0.0246642
6.0108,3.48899,0.174845,1.74591,-1.33005,-2.22948,0.425727,1.35654,-1.55627,0.0468113
6.04221,3.46563,0.224856,1.79627,-1.32714,-2.23204,0.425585,1.25617,-1.55709,0.0690647
6.07362,3.44437,0.274931,1.84654,-1.32445,-2.23444,0.42561,1.15584,-1.55796,0.091949
6.10485,3.42486,0.325116,1.89671,-1.32208,-2.23663,0.425856,1.05549,-1.55892,0.115773
6.13572,3.40685,0.375446,1.94681,-1.32013,-2.23853,0.426391,0.955057,-1.55999,0.140742
6.16604,3.39009,0.425933,1.99686,-1.31865,-2.24013,0.427278,0.854523,-1.56123,0.167043
6.19556,3.37448,0.476571,2.04685,-1.31762,-2.24144,0.428585,0.753907,-1.56271,0.194724
6.22401,3.36007,0.527373,2.09667,-1.31702,-2.24247,0.430419,0.65329,-1.56455,0.223647
6.2511,3.34698,0.57843,2.14623,-1.31686,-2.24321,0.432975,0.552683,-1.56695,0.253559
6.27668,3.3354,0.630107,2.1958,-1.3171,-2.24369,0.436632,0.451444,-1.57031,0.284281
6.30064,3.32547,0.683081,2.24633,-1.31746,-2.24408,0.442261,0.347959,-1.57559,0.315925
6.32314,3.31775,0.740459,2.30152,-1.31704,-2.24501,0.453062,0.235438,-1.58632,0.349425
6.3404,3.31175,0.801585,2.36123,-1.31284,-2.24825,0.485403,0.11473,-1.62008,0.38493
6.39151,3.31867,0.897692,2.45674,-1.33723,-2.23123,0.329686,-0.0775105,-1.45772,0.432959
6.40795,3.29319,0.876797,2.43565,-1.35252,-2.21537,0.213436,-0.0359617,-1.34189,0.449485
5.58727,3.16677,0.855928,2.41451,-0.18341,-0.866082,1.88702,-0.0102407,0.749479,0.457279
5.61165,3.16871,0.852042,2.41015,-0.173867,-1.03251,1.67304,-0.0169064,1.12038,0.462722
5.6262,3.1819,0.828321,2.38593,-0.157653,-1.19776,1.4747,-0.0634989,1.46793,0.475101
5.65988,3.15612,0.891125,2.44833,-0.142928,-1.31117,1.33247,0.0626263,1.70838,0.444492
5.65973,3.1626,0.878374,2.43527,-0.136329,-1.35247,1.28243,0.0371363,1.79321,0.450393
5.66033,3.16426,0.875895,2.43242,-0.133593,-1.3683,1.26134,0.0319445,1.82742,0.451376
5.66034,3.16485,0.87537,2.43141,-0.132649,-1.37315,1.25321,0.0304526,1.83946,0.451524
5.66012,3.16506,0.875396,2.43088,-0.132346,-1.37428,1.24979,0.0299602,1.84371,0.451515
5.65989,3.16515,0.875558,2.43053,-0.132257,-1.37428,1.24812,0.029781,1.84529,0.451484
5.6597,3.16521,0.875692,2.43031,-0.132227,-1.37407,1.24713,0.0296968,1.84604,0.451425
5.65955,3.16536,0.87574,2.43021,-0.132214,-1.37388,1.24648,0.0296472,1.84648,0.451282
5.65942,3.16564,0.875701,2.43021,-0.132211,-1.37373,1.24606,0.0296158,1.84676,0.450997
5.65929,3.16608,0.875603,2.43029,-0.132216,-1.37361,1.24577,0.0295966,1.84694,0.450552
5.65917,3.16663,0.875495,2.43039,-0.132225,-1.37351,1.24557,0.0295847,1.84704,0.45
