base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
6,2,-9.58974e-17,1.57,-0.8678,-2.2043,-0.0347,1.6315,-3.86558e-18
5.99828,2.05153,0.00249887,1.5725,-0.883448,-2.20493,-0.0193246,1.62903,-0.0518237
5.99657,2.10306,0.00499774,1.575,-0.899097,-2.20557,-0.00394911,1.62656,-0.103647
5.99485,2.15459,0.0074966,1.5775,-0.914745,-2.2062,0.0114263,1.62408,-0.155471
5.99313,2.20612,0.00999547,1.58,-0.930394,-2.20683,0.0268018,1.62161,-0.207295
5.99142,2.25765,0.0124943,1.5825,-0.946042,-2.20747,0.0421772,1.61914,-0.259119
5.9897,2.30918,0.0149932,1.585,-0.961691,-2.2081,0.0575527,1.61667,-0.310942
5.98798,2.36071,0.0174921,1.5875,-0.977339,-2.20873,0.0729281,1.61419,-0.362766
5.98627,2.41224,0.0199909,1.59,-0.992988,-2.20936,0.0883035,1.61172,-0.41459
5.98455,2.46378,0.0224898,1.5925,-1.00864,-2.21,0.103679,1.60925,-0.466414
5.98283,2.51531,0.0249887,1.595,-1.02428,-2.21063,0.119054,1.60678,-0.518237
5.98112,2.56684,0.0274875,1.5975,-1.03993,-2.21126,0.13443,1.6043,-0.570061
5.9794,2.61837,0.0299864,1.6,-1.05558,-2.2119,0.149805,1.60183,-0.621885
5.97768,2.6699,0.0324853,1.6025,-1.07123,-2.21253,0.165181,1.59936,-0.673709
5.97597,2.72143,0.0349842,1.605,-1.08688,-2.21316,0.180556,1.59689,-0.725532
5.97425,2.77296,0.037483,1.6075,-1.10253,-2.2138,0.195932,1.59442,-0.777356
5.97253,2.82449,0.0399819,1.61,-1.11818,-2.21443,0.211307,1.59194,-0.82918
5.97082,2.87602,0.0424808,1.6125,-1.13382,-2.21506,0.226683,1.58947,-0.881003
5.9691,2.92755,0.0449796,1.615,-1.14947,-2.2157,0.242058,1.587,-0.932827
5.96738,2.97908,0.0474785,1.6175,-1.16512,-2.21633,0.257433,1.58453,-0.984651
5.96567,3.03061,0.0499774,1.62,-1.18077,-2.21696,0.272809,1.58205,-1.03647
5.96395,3.08214,0.0524762,1.6225,-1.19642,-2.21759,0.288184,1.57958,-1.0883
5.96223,3.13367,0.0549751,1.625,-1.21207,-2.21823,0.30356,1.57711,-1.14012
5.96052,3.1852,0.057474,1.6275,-1.22771,-2.21886,0.318935,1.57464,-1.19195
5.9588,3.23673,0.0599728,1.63,-1.24336,-2.21949,0.334311,1.57216,-1.24377
5.95708,3.28826,0.0624717,1.6325,-1.25901,-2.22013,0.349686,1.56969,-1.29559
5.95537,3.3398,0.0649706,1.635,-1.27466,-2.22076,0.365062,1.56722,-1.34742
5.95365,3.39133,0.0674694,1.6375,-1.29031,-2.22139,0.380437,1.56475,-1.39924
5.95193,3.44286,0.0699683,1.64,-1.30596,-2.22203,0.395812,1.56228,-1.45106
5.95022,3.49439,0.0724672,1.6425,-1.3216,-2.22266,0.411188,1.5598,-1.50289
5.9485,3.54592,0.074966,1.645,-1.33725,-2.22329,0.426563,1.55733,-1.55471
