base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2.5,1,1.11538e-18,1.57,-0.8678,-2.2043,-0.0347,1.6315,-9.65318e-20
2.53289,1.05276,0.017194,1.57384,-0.932472,-2.16752,-0.00769603,1.61309,-0.00151062
2.56577,1.10551,0.0343881,1.57768,-0.997144,-2.13074,0.0193079,1.59469,-0.00302123
2.59866,1.15827,0.0515821,1.58153,-1.06182,-2.09396,0.0463119,1.57628,-0.00453185
2.63154,1.21103,0.0687762,1.58537,-1.12649,-2.05719,0.0733159,1.55787,-0.00604246
2.66443,1.26378,0.0859702,1.58921,-1.19116,-2.02041,0.10032,1.53947,-0.00755308
2.69731,1.31654,0.103164,1.59305,-1.25583,-1.98363,0.127324,1.52106,-0.00906369
2.73019,1.3693,0.120358,1.5969,-1.3205,-1.94685,0.154328,1.50266,-0.0105743
2.76308,1.42205,0.137552,1.60074,-1.38518,-1.91007,0.181332,1.48425,-0.0120849
2.79596,1.47481,0.154746,1.60458,-1.44985,-1.87329,0.208336,1.46584,-0.0135955
2.82882,1.52758,0.17194,1.60842,-1.51452,-1.83652,0.23534,1.44744,-0.0151062
2.86163,1.58036,0.189134,1.61227,-1.57919,-1.79974,0.262344,1.42903,-0.0166168
2.8943,1.6332,0.206329,1.61611,-1.64386,-1.76296,0.289348,1.41062,-0.0181274
2.92655,1.68619,0.223523,1.61995,-1.70854,-1.72618,0.316352,1.39222,-0.019638
2.9576,1.73961,0.240717,1.62379,-1.77321,-1.6894,0.343356,1.37381,-0.0211486
2.98572,1.79408,0.257911,1.62764,-1.83788,-1.65262,0.37036,1.3554,-0.0226592
3.00699,1.8509,0.275107,1.63148,-1.90255,-1.61585,0.397363,1.337,-0.0241698
3.02014,1.91009,0.292303,1.63532,-1.96722,-1.57907,0.424367,1.31859,-0.0256805
3.02629,1.97045,0.3095,1.63916,-2.0319,-1.54229,0.451371,1.30019,-0.0271911
3.02393,2.03124,0.3267,1.64301,-2.09657,-1.50551,0.478375,1.28178,-0.0287017
3.01477,2.09209,0.343902,1.64685,-2.16124,-1.46873,0.505379,1.26337,-0.0302123
3.00286,2.15297,0.361106,1.65069,-2.22591,-1.43195,0.532383,1.24497,-0.0317229
2.98983,2.21384,0.378309,1.65453,-2.29058,-1.39518,0.559387,1.22656,-0.0332335
2.97641,2.27471,0.395513,1.65838,-2.35526,-1.3584,0.586391,1.20815,-0.0347442
2.96286,2.33558,0.412716,1.66222,-2.41993,-1.32162,0.613395,1.18975,-0.0362548
2.94925,2.39645,0.42992,1.66606,-2.4846,-1.28484,0.640399,1.17134,-0.0377654
2.93564,2.45732,0.447124,1.6699,-2.54927,-1.24806,0.667403,1.15293,-0.039276
2.92202,2.51819,0.464327,1.67375,-2.61394,-1.21128,0.694407,1.13453,-0.0407866
2.9084,2.57907,0.481531,1.67759,-2.67862,-1.17451,0.721411,1.11612,-0.0422972
2.89478,2.63994,0.498735,1.68143,-2.74329,-1.13773,0.748415,1.09772,-0.0438078
2.88116,2.70081,0.515938,1.68527,-2.80796,-1.10095,0.775419,1.07931,-0.0453185
