base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
3.10214,1.86029,-0.129126,1.13254,0.201699,-0.327864,0.0693151,1.18642,0.0517575,1.66619e-16
3.12386,1.86313,-0.143073,1.13415,0.20106,-0.326196,0.070271,1.21468,0.051681,0.0406334
3.14562,1.86542,-0.156923,1.13586,0.200368,-0.324505,0.0712635,1.24307,0.0516293,0.0812041
3.16743,1.86713,-0.170677,1.13766,0.199622,-0.322792,0.0722929,1.2716,0.0516032,0.121715
3.18926,1.86827,-0.184339,1.13956,0.198821,-0.321056,0.0733595,1.30024,0.0516034,0.162169
3.2111,1.86884,-0.197912,1.14154,0.197966,-0.319296,0.0744637,1.32901,0.0516306,0.202567
3.23293,1.86883,-0.211398,1.14361,0.197057,-0.317512,0.0756061,1.3579,0.0516857,0.242912
3.25473,1.86823,-0.2248,1.14577,0.196094,-0.315703,0.0767868,1.38691,0.0517696,0.283205
3.27649,1.86706,-0.238122,1.148,0.195076,-0.31387,0.0780066,1.41602,0.0518832,0.323448
3.29818,1.8653,-0.251366,1.15032,0.194004,-0.31201,0.0792658,1.44524,0.0520275,0.363643
3.3198,1.86296,-0.264535,1.15271,0.192878,-0.310125,0.0805651,1.47456,0.0522036,0.403792
3.34133,1.86003,-0.277632,1.15517,0.191698,-0.308212,0.0819051,1.50398,0.0524126,0.443896
3.36274,1.85652,-0.290661,1.1577,0.190465,-0.306272,0.0832864,1.53349,0.0526558,0.483958
3.38403,1.85243,-0.303624,1.16029,0.189178,-0.304303,0.0847097,1.5631,0.0529346,0.52398
3.40518,1.84776,-0.316524,1.16295,0.187838,-0.302305,0.0861759,1.59278,0.0532505,0.563963
3.42616,1.84251,-0.329366,1.16566,0.186445,-0.300277,0.0876858,1.62255,0.0536049,0.603909
3.44696,1.83668,-0.342151,1.16844,0.185,-0.298219,0.0892404,1.6524,0.0539998,0.643821
3.46758,1.83028,-0.354884,1.17126,0.183503,-0.296129,0.0908408,1.68231,0.054437,0.6837
3.48798,1.82331,-0.367568,1.17414,0.181954,-0.294007,0.0924881,1.71229,0.0549184,0.723548
3.50816,1.81578,-0.380205,1.17706,0.180354,-0.291851,0.0941837,1.74233,0.0554464,0.763367
3.52809,1.80768,-0.3928,1.18002,0.178704,-0.289661,0.0959291,1.77243,0.0560235,0.803159
3.54777,1.79902,-0.405356,1.18302,0.177003,-0.287436,0.0977259,1.80258,0.0566522,0.842926
3.56718,1.78982,-0.417876,1.18606,0.175253,-0.285174,0.0995758,1.83278,0.0573355,0.882669
3.5863,1.78007,-0.430364,1.18913,0.173454,-0.282873,0.101481,1.86302,0.0580767,0.922391
3.60512,1.76977,-0.442823,1.19223,0.171606,-0.280534,0.103443,1.89329,0.0588792,0.962093
3.62361,1.75895,-0.455256,1.19535,0.16971,-0.278154,0.105466,1.9236,0.0597469,1.00178
3.64178,1.74761,-0.467668,1.1985,0.167767,-0.275731,0.107551,1.95393,0.060684,1.04145
3.6596,1.73574,-0.480062,1.20166,0.165777,-0.273264,0.109702,1.98428,0.0616953,1.0811
3.67706,1.72337,-0.492441,1.20484,0.163739,-0.270752,0.111922,2.01464,0.062786,1.12074
3.69414,1.7105,-0.50481,1.20803,0.161656,-0.268191,0.114216,2.04502,0.0639619,1.16037
3.71084,1.69713,-0.517171,1.21122,0.159526,-0.26558,0.116587,2.07539,0.0652295,1.2
