base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,-1.32862e-16,1.57,-0.8678,-2.2043,-0.0347,1.6315,1.27907e-19
2.06871,2.99137,-0.0115691,1.55843,-0.836767,-2.13216,-0.0363237,1.61242,0.00200147
2.13743,2.98274,-0.0231381,1.54685,-0.805734,-2.06003,-0.0379475,1.59334,0.00400295
2.20614,2.97412,-0.0347072,1.53528,-0.774701,-1.98789,-0.0395712,1.57425,0.00600442
2.27485,2.96549,-0.0462762,1.52371,-0.743668,-1.91576,-0.0411949,1.55517,0.00800589
2.34356,2.95685,-0.0578453,1.51213,-0.712635,-1.84362,-0.0428186,1.53609,0.0100074
2.41227,2.9482,-0.0694143,1.50056,-0.681602,-1.77148,-0.0444424,1.51701,0.0120088
2.48095,2.9395,-0.0809833,1.48899,-0.650569,-1.69935,-0.0460661,1.49793,0.0140103
2.54958,2.93064,-0.0925523,1.47741,-0.619536,-1.62721,-0.0476898,1.47884,0.0160118
2.61805,2.92133,-0.104121,1.46584,-0.588503,-1.55508,-0.0493135,1.45976,0.0180133
2.68606,2.91075,-0.11569,1.45427,-0.55747,-1.48294,-0.0509373,1.44068,0.0200147
2.75294,2.89703,-0.127258,1.44269,-0.526436,-1.4108,-0.052561,1.4216,0.0220162
2.81703,2.87568,-0.138823,1.43112,-0.495403,-1.33867,-0.0541847,1.40252,0.0240177
2.87764,2.84546,-0.150387,1.41955,-0.46437,-1.26653,-0.0558084,1.38343,0.0260191
2.93568,2.80993,-0.161949,1.40798,-0.433337,-1.1944,-0.0574322,1.36435,0.0280206
2.99122,2.77075,-0.17351,1.3964,-0.402304,-1.12226,-0.0590559,1.34527,0.0300221
3.04214,2.72658,-0.185069,1.38483,-0.371271,-1.05013,-0.0606796,1.32619,0.0320236
3.0864,2.67625,-0.196627,1.37326,-0.340238,-0.977989,-0.0623033,1.30711,0.034025
3.12266,2.61993,-0.208183,1.36168,-0.309205,-0.905853,-0.0639271,1.28802,0.0360265
3.15223,2.55923,-0.219738,1.35011,-0.278172,-0.833717,-0.0655508,1.26894,0.038028
3.17763,2.49647,-0.231294,1.33854,-0.247139,-0.761581,-0.0671745,1.24986,0.0400295
3.19789,2.43222,-0.242853,1.32696,-0.216106,-0.689445,-0.0687983,1.23078,0.0420309
3.20929,2.36623,-0.254418,1.31539,-0.185073,-0.617309,-0.070422,1.2117,0.0440324
3.21274,2.29887,-0.265987,1.30382,-0.15404,-0.545174,-0.0720457,1.19261,0.0460339
3.21293,2.23095,-0.277558,1.29224,-0.123007,-0.473038,-0.0736694,1.17353,0.0480353
3.21177,2.16281,-0.289129,1.28067,-0.0919738,-0.400902,-0.0752932,1.15445,0.0500368
3.21015,2.09459,-0.300701,1.2691,-0.0609407,-0.328766,-0.0769169,1.13537,0.0520383
3.20836,2.02634,-0.312273,1.25752,-0.0299077,-0.25663,-0.0785406,1.11629,0.0540398
3.20652,1.95808,-0.323845,1.24595,0.00112538,-0.184494,-0.0801643,1.0972,0.0560412
3.20466,1.88982,-0.335417,1.23438,0.0321584,-0.112358,-0.0817881,1.07812,0.0580427
3.2028,1.82156,-0.346989,1.2228,0.0631915,-0.040222,-0.0834118,1.05904,0.0600442
