base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
3.23331,1.80187,-0.88255,1.71464,0.0900454,-0.0960808,-0.0559896,1.0154,0.0631531,1.38161e-16
3.24659,1.80809,-0.883205,1.71399,0.0897904,-0.095221,-0.0536696,1.05497,0.0617284,0.04096
3.25997,1.81389,-0.883742,1.71345,0.0895118,-0.0943991,-0.05141,1.09469,0.0604488,0.0818231
3.27342,1.81927,-0.884164,1.71303,0.0892071,-0.0936101,-0.0491994,1.13454,0.0593032,0.122594
3.28692,1.82421,-0.884476,1.71272,0.0888739,-0.0928495,-0.0470277,1.17453,0.058282,0.163277
3.30046,1.8287,-0.884681,1.71251,0.0885105,-0.0921132,-0.0448857,1.21465,0.057377,0.203875
3.31402,1.83273,-0.884784,1.71241,0.088115,-0.0913974,-0.0427654,1.2549,0.0565814,0.244394
3.32759,1.8363,-0.884789,1.7124,0.0876861,-0.0906987,-0.0406591,1.29527,0.0558894,0.284836
3.34115,1.8394,-0.8847,1.71249,0.0872225,-0.0900139,-0.0385601,1.33575,0.0552963,0.325205
3.35468,1.84202,-0.884522,1.71267,0.086723,-0.08934,-0.036462,1.37635,0.0547981,0.365506
3.36817,1.84416,-0.884258,1.71294,0.0861866,-0.0886741,-0.0343588,1.41705,0.0543917,0.405742
3.38159,1.84581,-0.883914,1.71328,0.0856125,-0.0880134,-0.0322447,1.45786,0.0540748,0.445917
3.39494,1.84696,-0.883493,1.7137,0.085,-0.0873554,-0.0301146,1.49876,0.0538459,0.486035
3.4082,1.84762,-0.883001,1.71419,0.0843482,-0.0866975,-0.027963,1.53975,0.053704,0.526098
3.42135,1.84778,-0.882441,1.71475,0.0836567,-0.086037,-0.0257848,1.58082,0.0536489,0.566112
3.43438,1.84743,-0.881818,1.71538,0.0829248,-0.0853714,-0.0235748,1.62198,0.053681,0.606078
3.44727,1.84658,-0.881137,1.71606,0.082152,-0.084698,-0.0213279,1.66321,0.0538013,0.646001
3.46,1.84522,-0.880402,1.71679,0.0813378,-0.0840143,-0.0190385,1.7045,0.0540119,0.685885
3.47257,1.84336,-0.879619,1.71758,0.0804817,-0.0833174,-0.0167012,1.74586,0.0543151,0.725732
3.48495,1.84099,-0.878792,1.7184,0.0795832,-0.0826044,-0.0143102,1.78726,0.0547144,0.765545
3.49714,1.83811,-0.877925,1.71927,0.0786418,-0.0818724,-0.0118592,1.82872,0.0552141,0.805328
3.50911,1.83472,-0.877023,1.72017,0.0776567,-0.0811179,-0.00934136,1.87022,0.0558194,0.845084
3.52086,1.83083,-0.876092,1.7211,0.0766273,-0.0803375,-0.00674944,1.91175,0.0565366,0.884816
3.53237,1.82644,-0.875137,1.72206,0.075553,-0.0795272,-0.00407536,1.95331,0.0573733,0.924525
3.54362,1.82155,-0.874161,1.72304,0.0744327,-0.0786829,-0.00131018,1.99488,0.0583383,0.964214
3.55462,1.81616,-0.873174,1.72402,0.0732655,-0.0777999,0.00155613,2.03645,0.0594422,1.00388
3.56534,1.81027,-0.872183,1.72501,0.0720505,-0.0768731,0.00453399,2.078,0.060697,1.04352
3.57578,1.8039,-0.87121,1.72599,0.070787,-0.0758973,0.00763417,2.11945,0.062116,1.08309
3.58598,1.79701,-0.8703,1.7269,0.0694767,-0.0748685,0.0108633,2.16062,0.0637112,1.12253
3.59598,1.78959,-0.869538,1.72766,0.0681237,-0.073785,0.0142216,2.20119,0.06549,1.16166
3.60598,1.78157,-0.869162,1.72804,0.0667457,-0.072657,0.0176753,2.24021,0.0674351,1.2
