base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,-1.34391e-16,1.57,-0.8678,-2.2043,-0.0347,1.6315,-6.50894e-19
2.01572,2.95433,-0.0258938,1.54417,-0.832148,-2.18384,-0.0338999,1.57766,-0.0056353
2.03144,2.90867,-0.0517877,1.51835,-0.796496,-2.16338,-0.0330999,1.52381,-0.0112706
2.04716,2.863,-0.0776815,1.49252,-0.760844,-2.14293,-0.0322998,1.46997,-0.0169059
2.06288,2.81733,-0.103575,1.46669,-0.725192,-2.12247,-0.0314998,1.41612,-0.0225412
2.0786,2.77167,-0.129469,1.44086,-0.68954,-2.10201,-0.0306997,1.36228,-0.0281765
2.09432,2.726,-0.155363,1.41504,-0.653888,-2.08155,-0.0298996,1.30843,-0.0338118
2.11004,2.68034,-0.181257,1.38921,-0.618237,-2.06109,-0.0290996,1.25459,-0.0394471
2.12576,2.63467,-0.207151,1.36338,-0.582585,-2.04063,-0.0282995,1.20075,-0.0450824
2.14148,2.589,-0.233045,1.33755,-0.546933,-2.02018,-0.0274994,1.1469,-0.0507177
2.1572,2.54334,-0.258938,1.31173,-0.511281,-1.99972,-0.0266994,1.09306,-0.056353
2.17292,2.49767,-0.284832,1.2859,-0.475629,-1.97926,-0.0258993,1.03921,-0.0619883
2.18864,2.452,-0.310726,1.26007,-0.439977,-1.9588,-0.0250993,0.985368,-0.0676236
2.20436,2.40634,-0.33662,1.23424,-0.404325,-1.93834,-0.0242992,0.931524,-0.073259
2.22008,2.36067,-0.362514,1.20842,-0.368673,-1.91789,-0.0234991,0.877679,-0.0788943
2.23581,2.315,-0.388408,1.18259,-0.333021,-1.89743,-0.0226991,0.823835,-0.0845296
2.25153,2.26934,-0.414301,1.15676,-0.297369,-1.87697,-0.021899,0.769991,-0.0901649
2.26725,2.22367,-0.440195,1.13093,-0.261717,-1.85651,-0.0210989,0.716146,-0.0958002
2.28297,2.17801,-0.466089,1.10511,-0.226065,-1.83605,-0.0202989,0.662302,-0.101435
2.29869,2.13234,-0.491983,1.07928,-0.190413,-1.81559,-0.0194988,0.608457,-0.107071
2.31441,2.08667,-0.517877,1.05345,-0.154762,-1.79514,-0.0186988,0.554613,-0.112706
2.33013,2.04101,-0.543771,1.02762,-0.11911,-1.77468,-0.0178987,0.500769,-0.118341
2.34585,1.99534,-0.569664,1.0018,-0.0834577,-1.75422,-0.0170986,0.446924,-0.123977
2.36157,1.94967,-0.595558,0.975969,-0.0478057,-1.73376,-0.0162986,0.39308,-0.129612
2.37729,1.90401,-0.621452,0.950141,-0.0121538,-1.7133,-0.0154985,0.339236,-0.135247
2.39301,1.85834,-0.647346,0.924314,0.0234981,-1.69285,-0.0146984,0.285391,-0.140883
2.40873,1.81268,-0.67324,0.898486,0.05915,-1.67239,-0.0138984,0.231547,-0.146518
2.42445,1.76701,-0.699134,0.872659,0.094802,-1.65193,-0.0130983,0.177703,-0.152153
2.44017,1.72134,-0.725028,0.846832,0.130454,-1.63147,-0.0122983,0.123858,-0.157789
2.45589,1.67568,-0.750921,0.821004,0.166106,-1.61101,-0.0114982,0.070014,-0.163424
2.47161,1.63001,-0.776815,0.795177,0.201758,-1.59055,-0.0106981,0.0161697,-0.169059
