base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
5.9485,3.54592,0.074966,1.645,-1.33725,-2.22329,0.426563,1.55733,-1.55471,-1.01715e-16
5.95478,3.53126,0.0836225,1.65268,-1.3339,-2.22603,0.425947,1.54099,-1.55484,0.0145675
5.96105,3.51663,0.0922808,1.66036,-1.33054,-2.22876,0.425321,1.52465,-1.55496,0.0291672
5.9673,3.50203,0.100941,1.66805,-1.32719,-2.23146,0.424687,1.50831,-1.55509,0.0437989
5.97355,3.48746,0.109604,1.67573,-1.32384,-2.23416,0.424043,1.49196,-1.55521,0.0584623
5.97978,3.47292,0.118268,1.68342,-1.3205,-2.23684,0.423391,1.47561,-1.55534,0.0731572
5.98599,3.45841,0.126934,1.69111,-1.31716,-2.2395,0.42273,1.45925,-1.55546,0.0878834
5.99219,3.44392,0.135603,1.69881,-1.31383,-2.24215,0.42206,1.44289,-1.55559,0.102641
5.99837,3.42947,0.144274,1.7065,-1.31049,-2.24479,0.421381,1.42652,-1.55572,0.117429
6.00454,3.41504,0.152946,1.7142,-1.30717,-2.24741,0.420695,1.41015,-1.55584,0.132247
6.01069,3.40065,0.161621,1.7219,-1.30384,-2.25002,0.419999,1.39378,-1.55597,0.147096
6.01681,3.38628,0.170298,1.7296,-1.30052,-2.25261,0.419296,1.3774,-1.5561,0.161975
6.02292,3.37193,0.178978,1.7373,-1.29721,-2.25519,0.418584,1.36102,-1.55623,0.176883
6.02901,3.35761,0.187659,1.74501,-1.2939,-2.25775,0.417865,1.34463,-1.55636,0.191821
6.03508,3.34332,0.196343,1.75272,-1.29059,-2.2603,0.417137,1.32824,-1.55649,0.206788
6.04113,3.32906,0.205029,1.76043,-1.28729,-2.26284,0.416402,1.31184,-1.55663,0.221785
6.04716,3.31482,0.213717,1.76814,-1.28399,-2.26536,0.415659,1.29544,-1.55676,0.236809
6.05316,3.30061,0.222408,1.77586,-1.28069,-2.26786,0.414909,1.27904,-1.55689,0.251862
6.05914,3.28642,0.2311,1.78357,-1.27741,-2.27035,0.414151,1.26263,-1.55703,0.266944
6.0651,3.27225,0.239796,1.79129,-1.27412,-2.27283,0.413386,1.24621,-1.55717,0.282053
6.07103,3.25811,0.248493,1.79902,-1.27084,-2.27529,0.412614,1.22979,-1.55731,0.297189
6.07693,3.24399,0.257193,1.80674,-1.26756,-2.27774,0.411835,1.21337,-1.55745,0.312353
6.08281,3.2299,0.265895,1.81447,-1.26429,-2.28018,0.411049,1.19694,-1.55759,0.327543
6.08867,3.21583,0.2746,1.8222,-1.26103,-2.2826,0.410257,1.18051,-1.55774,0.342761
6.09449,3.20178,0.283306,1.82993,-1.25776,-2.285,0.409458,1.16407,-1.55789,0.358004
6.10029,3.18775,0.292016,1.83766,-1.25451,-2.28739,0.408653,1.14763,-1.55804,0.373273
6.10606,3.17375,0.300727,1.8454,-1.25126,-2.28977,0.407842,1.13118,-1.55819,0.388569
6.11181,3.15976,0.309442,1.85314,-1.24801,-2.29213,0.407026,1.11473,-1.55834,0.403889
6.11752,3.1458,0.318158,1.86088,-1.24477,-2.29448,0.406204,1.09827,-1.5585,0.419235
6.1232,3.13186,0.326877,1.86862,-1.24153,-2.29682,0.405376,1.08181,-1.55866,0.434605
6.12886,3.11794,0.335599,1.87637,-1.2383,-2.29914,0.404543,1.06534,-1.55882,0.45
