base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,-9.92896e-17,1.57,-0.8678,-2.2043,-0.0347,1.6315,-4.40791e-18
1.99394,2.97306,-0.00150035,1.5685,-0.848073,-2.14665,-0.00904627,1.62593,-0.0522276
1.98787,2.94611,-0.00300071,1.567,-0.828347,-2.08901,0.0166075,1.62036,-0.104455
1.98181,2.91917,-0.00450106,1.5655,-0.80862,-2.03136,0.0422612,1.61479,-0.156683
1.97575,2.89222,-0.00600141,1.564,-0.788894,-1.97372,0.0679149,1.60922,-0.208911
1.96968,2.86528,-0.00750176,1.5625,-0.769167,-1.91607,0.0935686,1.60365,-0.261138
1.96362,2.83834,-0.00900212,1.56099,-0.74944,-1.85843,0.119222,1.59807,-0.313366
1.95756,2.81139,-0.0105025,1.55949,-0.729714,-1.80078,0.144876,1.5925,-0.365594
1.95149,2.78445,-0.0120028,1.55799,-0.709987,-1.74314,0.17053,1.58693,-0.417821
1.94543,2.7575,-0.0135032,1.55649,-0.690261,-1.68549,0.196184,1.58136,-0.470049
1.93936,2.73056,-0.0150035,1.55499,-0.670534,-1.62784,0.221837,1.57579,-0.522276
1.9333,2.70361,-0.0165039,1.55349,-0.650808,-1.5702,0.247491,1.57022,-0.574504
1.92724,2.67667,-0.0180042,1.55199,-0.631081,-1.51255,0.273145,1.56465,-0.626732
1.92117,2.64973,-0.0195046,1.55049,-0.611354,-1.45491,0.298798,1.55908,-0.678959
1.91511,2.62278,-0.0210049,1.54899,-0.591628,-1.39726,0.324452,1.55351,-0.731187
1.90905,2.59584,-0.0225053,1.54749,-0.571901,-1.33962,0.350106,1.54794,-0.783415
1.90298,2.56889,-0.0240056,1.54599,-0.552175,-1.28197,0.37576,1.54236,-0.835642
1.89692,2.54195,-0.025506,1.54448,-0.532448,-1.22433,0.401413,1.53679,-0.88787
1.89086,2.51501,-0.0270064,1.54298,-0.512721,-1.16668,0.427067,1.53122,-0.940098
1.88479,2.48806,-0.0285067,1.54148,-0.492995,-1.10903,0.452721,1.52565,-0.992325
1.87873,2.46112,-0.0300071,1.53998,-0.473268,-1.05139,0.478375,1.52008,-1.04455
1.87267,2.43417,-0.0315074,1.53848,-0.453542,-0.993743,0.504028,1.51451,-1.09678
1.8666,2.40723,-0.0330078,1.53698,-0.433815,-0.936098,0.529682,1.50894,-1.14901
1.86054,2.38029,-0.0345081,1.53548,-0.414089,-0.878452,0.555336,1.50337,-1.20124
1.85448,2.35334,-0.0360085,1.53398,-0.394362,-0.820807,0.580989,1.4978,-1.25346
1.84841,2.3264,-0.0375088,1.53248,-0.374635,-0.763161,0.606643,1.49223,-1.30569
1.84235,2.29945,-0.0390092,1.53098,-0.354909,-0.705515,0.632297,1.48665,-1.35792
1.83629,2.27251,-0.0405095,1.52948,-0.335182,-0.64787,0.657951,1.48108,-1.41015
1.83022,2.24556,-0.0420099,1.52797,-0.315456,-0.590224,0.683604,1.47551,-1.46237
1.82416,2.21862,-0.0435102,1.52647,-0.295729,-0.532579,0.709258,1.46994,-1.5146
1.81809,2.19168,-0.0450106,1.52497,-0.276002,-0.474933,0.734912,1.46437,-1.56683
