base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,8.79198e-12,1.57,-0.8678,-2.2043,-0.0347,1.6315,1.76147e-12
2.06816,2.99144,-0.00430702,1.55542,-0.83215,-2.14175,-0.0312329,1.61666,0.00172524
2.13632,2.98288,-0.00861404,1.54084,-0.7965,-2.0792,-0.0277657,1.60183,0.00345049
2.20448,2.97432,-0.0129211,1.52625,-0.76085,-2.01666,-0.0242986,1.58699,0.00517573
2.27265,2.96576,-0.0172281,1.51167,-0.7252,-1.95411,-0.0208314,1.57216,0.00690098
2.34081,2.95719,-0.0215351,1.49709,-0.68955,-1.89156,-0.0173643,1.55732,0.00862622
2.40896,2.94861,-0.0258421,1.48251,-0.6539,-1.82901,-0.0138972,1.54248,0.0103515
2.4771,2.93999,-0.0301491,1.46793,-0.61825,-1.76646,-0.01043,1.52765,0.0120767
2.54518,2.93122,-0.034456,1.45334,-0.5826,-1.70392,-0.00696288,1.51281,0.013802
2.61312,2.92203,-0.0387626,1.43876,-0.54695,-1.64137,-0.00349573,1.49798,0.0155272
2.68065,2.91168,-0.0430685,1.42418,-0.5113,-1.57882,-2.85794e-05,1.48314,0.0172524
2.74712,2.89843,-0.0473727,1.4096,-0.47565,-1.51627,0.00343857,1.4683,0.0189777
2.81105,2.87811,-0.0516727,1.39502,-0.44,-1.45373,0.00690573,1.45347,0.0207029
2.87149,2.84899,-0.0559675,1.38043,-0.40435,-1.39118,0.0103729,1.43863,0.0224282
2.92922,2.81417,-0.0602597,1.36585,-0.3687,-1.32863,0.01384,1.4238,0.0241534
2.98456,2.77574,-0.0645526,1.35127,-0.33305,-1.26608,0.0173072,1.40896,0.0258787
3.03577,2.7328,-0.0688501,1.33669,-0.2974,-1.20353,0.0207744,1.39413,0.0276039
3.08062,2.68399,-0.0731546,1.32211,-0.26175,-1.14099,0.0242415,1.37929,0.0293292
3.11733,2.62898,-0.0774649,1.30752,-0.2261,-1.07844,0.0277087,1.36445,0.0310544
3.14721,2.56937,-0.0817785,1.29294,-0.190451,-1.01589,0.0311759,1.34962,0.0327797
3.17306,2.50767,-0.086094,1.27836,-0.154801,-0.953342,0.0346431,1.33478,0.0345049
3.19462,2.44473,-0.0904119,1.26378,-0.119151,-0.890794,0.0381103,1.31994,0.0362302
3.20782,2.38037,-0.0947347,1.2492,-0.0835007,-0.828247,0.0415774,1.30511,0.0379554
3.21137,2.31492,-0.0990587,1.23461,-0.0478508,-0.765699,0.0450446,1.29027,0.0396807
3.20554,2.2495,-0.103371,1.22003,-0.0122009,-0.703151,0.0485118,1.27544,0.0414059
3.192,2.18443,-0.10767,1.20545,0.0234491,-0.640603,0.051979,1.2606,0.0431312
3.17537,2.11952,-0.111964,1.19087,0.059099,-0.578055,0.0554462,1.24576,0.0448565
3.15748,2.05469,-0.116255,1.17628,0.094749,-0.515508,0.0589134,1.23093,0.0465817
3.13915,1.98988,-0.120546,1.1617,0.130399,-0.45296,0.0623806,1.21609,0.048307
3.12067,1.92508,-0.124836,1.14712,0.166049,-0.390412,0.0658479,1.20126,0.0500322
3.10214,1.86029,-0.129126,1.13254,0.201699,-0.327864,0.0693151,1.18642,0.0517575
