base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,xxxx_joint
5.9485,3.54592,0.074966,1.645,-1.33725,-2.22329,0.426563,1.55733,-1.55471,-1.53168e-16
5.95539,3.52726,0.0745753,1.66142,-1.34684,-2.21658,0.429443,1.5413,-1.55483,0.0138523
5.96241,3.50865,0.0741733,1.67783,-1.3564,-2.20979,0.432216,1.52529,-1.55496,0.0277375
5.96956,3.49009,0.07376,1.69423,-1.36594,-2.20292,0.434884,1.5093,-1.55508,0.0416574
5.97685,3.47158,0.0733353,1.71062,-1.37545,-2.19596,0.437446,1.49334,-1.5552,0.0556136
5.98426,3.45313,0.072899,1.727,-1.38493,-2.18893,0.439903,1.4774,-1.55532,0.069608
5.9918,3.43472,0.0724511,1.74336,-1.39438,-2.18181,0.442254,1.46148,-1.55544,0.0836422
5.99947,3.41638,0.0719915,1.75972,-1.4038,-2.17463,0.4445,1.44559,-1.55557,0.097718
6.00726,3.39808,0.07152,1.77606,-1.41319,-2.16736,0.446641,1.42972,-1.55569,0.111837
6.01518,3.37985,0.0710365,1.79239,-1.42254,-2.16002,0.448677,1.41387,-1.55581,0.126001
6.02322,3.36168,0.0705411,1.80871,-1.43186,-2.15261,0.450609,1.39805,-1.55594,0.140212
6.03137,3.34357,0.0700335,1.82501,-1.44115,-2.14513,0.452437,1.38225,-1.55606,0.154471
6.03964,3.32552,0.0695138,1.84131,-1.4504,-2.13758,0.454159,1.36648,-1.55619,0.16878
6.04803,3.30753,0.0689818,1.85759,-1.45961,-2.12996,0.455779,1.35073,-1.55631,0.183141
6.05653,3.28962,0.0684375,1.87386,-1.46879,-2.12228,0.457296,1.335,-1.55644,0.197554
6.06514,3.27176,0.0678807,1.89012,-1.47792,-2.11453,0.458713,1.3193,-1.55656,0.212022
6.07385,3.25398,0.0673103,1.90636,-1.48702,-2.10672,0.460029,1.30363,-1.55669,0.226547
6.08267,3.23626,0.0667234,1.92258,-1.49606,-2.09885,0.461246,1.288,-1.55682,0.241132
6.09157,3.21863,0.0661114,1.93878,-1.50504,-2.09096,0.462363,1.27241,-1.55695,0.255781
6.10053,3.20107,0.0654476,1.95491,-1.51388,-2.08309,0.463378,1.25695,-1.55708,0.270509
6.10944,3.18363,0.0646617,1.97088,-1.52243,-2.07541,0.464285,1.24177,-1.55721,0.285349
6.11806,3.16636,0.0635521,1.9864,-1.53019,-2.06839,0.465071,1.22735,-1.55733,0.300389
6.12585,3.14938,0.0617467,2.00091,-1.53627,-2.06293,0.465718,1.21465,-1.55744,0.3158
6.13143,3.13302,0.0581953,2.0129,-1.53814,-2.06148,0.466171,1.2062,-1.55751,0.332032
6.13577,3.11692,0.054343,2.02271,-1.53807,-2.06191,0.466547,1.20025,-1.55757,0.348641
6.13952,3.10093,0.0504899,2.03133,-1.53707,-2.06323,0.466885,1.19548,-1.55761,0.365426
6.14303,3.08499,0.0466606,2.03947,-1.53569,-2.06492,0.467207,1.19117,-1.55765,0.382286
6.14644,3.06909,0.0428472,2.04743,-1.5341,-2.0668,0.467517,1.18703,-1.55768,0.399185
6.1498,3.0532,0.039042,2.05533,-1.53239,-2.0688,0.46782,1.18294,-1.55772,0.416108
6.15314,3.03733,0.0352412,2.0632,-1.53059,-2.07088,0.468115,1.17886,-1.55775,0.43305
6.15646,3.02147,0.0314424,2.07108,-1.52875,-2.073,0.468404,1.17479,-1.55779,0.45
