base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,3,-3.79789e-19,1.57,-0.8678,-2.2043,-0.0347,1.6315,-3.35225e-18
1.97888,2.96997,-0.0059434,1.58649,-0.847194,-2.14882,-0.00778509,1.63948,-0.0524487
1.95779,2.93995,-0.0118868,1.60298,-0.826588,-2.09333,0.0191298,1.64746,-0.104897
1.9368,2.90992,-0.0178302,1.61948,-0.805982,-2.03785,0.0460447,1.65543,-0.157346
1.91608,2.8799,-0.0237736,1.63597,-0.785376,-1.98237,0.0729596,1.66341,-0.209795
1.89604,2.84987,-0.029717,1.65246,-0.76477,-1.92688,0.0998745,1.67139,-0.262243
1.87765,2.81985,-0.0356604,1.66895,-0.744164,-1.8714,0.126789,1.67937,-0.314692
1.86097,2.78982,-0.0416038,1.68545,-0.723558,-1.81592,0.153704,1.68734,-0.367141
1.84501,2.7598,-0.0475472,1.70194,-0.702952,-1.76043,0.180619,1.69532,-0.419589
1.82935,2.72977,-0.0534906,1.71843,-0.682347,-1.70495,0.207534,1.7033,-0.472038
1.81379,2.69974,-0.059434,1.73492,-0.661741,-1.64947,0.234449,1.71128,-0.524487
1.79827,2.66972,-0.0653774,1.75142,-0.641135,-1.59398,0.261364,1.71925,-0.576936
1.78277,2.63969,-0.0713208,1.76791,-0.620529,-1.5385,0.288279,1.72723,-0.629384
1.76727,2.60967,-0.0772642,1.7844,-0.599923,-1.48302,0.315194,1.73521,-0.681833
1.75176,2.57964,-0.0832077,1.80089,-0.579317,-1.42753,0.342109,1.74319,-0.734282
1.73626,2.54962,-0.0891511,1.81739,-0.558711,-1.37205,0.369024,1.75116,-0.78673
1.72076,2.51959,-0.0950945,1.83388,-0.538105,-1.31657,0.395939,1.75914,-0.839179
1.70526,2.48957,-0.101038,1.85037,-0.517499,-1.26108,0.422853,1.76712,-0.891628
1.68976,2.45954,-0.106981,1.86686,-0.496893,-1.2056,0.449768,1.7751,-0.944076
1.67428,2.42951,-0.112925,1.88336,-0.476287,-1.15012,0.476683,1.78307,-0.996525
1.65883,2.39949,-0.118868,1.89985,-0.455681,-1.09463,0.503598,1.79105,-1.04897
1.64347,2.36946,-0.124811,1.91634,-0.435075,-1.03915,0.530513,1.79903,-1.10142
1.62838,2.33944,-0.130755,1.93283,-0.414469,-0.983668,0.557428,1.80701,-1.15387
1.61398,2.30941,-0.136698,1.94933,-0.393863,-0.928185,0.584343,1.81498,-1.20632
1.60122,2.27939,-0.142642,1.96582,-0.373257,-0.872702,0.611258,1.82296,-1.25877
1.59094,2.24936,-0.148585,1.98231,-0.352651,-0.817219,0.638173,1.83094,-1.31122
1.58165,2.21934,-0.154528,1.9988,-0.332045,-0.761735,0.665088,1.83892,-1.36367
1.5728,2.18931,-0.160472,2.0153,-0.31144,-0.706252,0.692003,1.84689,-1.41611
1.56411,2.15928,-0.166415,2.03179,-0.290834,-0.650769,0.718917,1.85487,-1.46856
1.55546,2.12926,-0.172359,2.04828,-0.270228,-0.595286,0.745832,1.86285,-1.52101
1.54684,2.09923,-0.178302,2.06477,-0.249622,-0.539802,0.772747,1.87083,-1.57346
