base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
3.5,2,-1.88071e-18,1.57,-0.8678,-2.2043,-0.0347,1.6315,1.34548e-19
3.49111,1.9934,-0.0294183,1.57482,-0.835872,-2.13403,-0.0354097,1.61096,0.0021051
3.48222,1.98679,-0.0588366,1.57964,-0.803944,-2.06375,-0.0361193,1.59043,0.00421021
3.47333,1.98019,-0.088255,1.58446,-0.772015,-1.99348,-0.036829,1.56989,0.00631531
3.46444,1.97358,-0.117673,1.58929,-0.740087,-1.9232,-0.0375386,1.54935,0.00842041
3.45555,1.96698,-0.147092,1.59411,-0.708159,-1.85293,-0.0382483,1.52882,0.0105255
3.44666,1.96037,-0.17651,1.59893,-0.676231,-1.78266,-0.0389579,1.50828,0.0126306
3.43777,1.95377,-0.205928,1.60375,-0.644303,-1.71238,-0.0396676,1.48774,0.0147357
3.42888,1.94717,-0.235347,1.60857,-0.612375,-1.64211,-0.0403772,1.46721,0.0168408
3.41999,1.94056,-0.264765,1.61339,-0.580446,-1.57183,-0.0410869,1.44667,0.0189459
3.4111,1.93396,-0.294183,1.61821,-0.548518,-1.50156,-0.0417965,1.42613,0.021051
3.40221,1.92735,-0.323602,1.62304,-0.51659,-1.43129,-0.0425062,1.4056,0.0231561
3.39332,1.92075,-0.35302,1.62786,-0.484662,-1.36101,-0.0432159,1.38506,0.0252612
3.38443,1.91414,-0.382438,1.63268,-0.452734,-1.29074,-0.0439255,1.36452,0.0273663
3.37554,1.90754,-0.411856,1.6375,-0.420805,-1.22046,-0.0446352,1.34399,0.0294714
3.36665,1.90094,-0.441275,1.64232,-0.388877,-1.15019,-0.0453448,1.32345,0.0315765
3.35776,1.89433,-0.470693,1.64714,-0.356949,-1.07992,-0.0460545,1.30291,0.0336816
3.34887,1.88773,-0.500111,1.65196,-0.325021,-1.00964,-0.0467641,1.28238,0.0357868
3.33998,1.88112,-0.52953,1.65679,-0.293093,-0.939369,-0.0474738,1.26184,0.0378919
3.33109,1.87452,-0.558948,1.66161,-0.261165,-0.869095,-0.0481834,1.2413,0.039997
3.3222,1.86791,-0.588366,1.66643,-0.229236,-0.798821,-0.0488931,1.22077,0.0421021
3.31331,1.86131,-0.617785,1.67125,-0.197308,-0.728547,-0.0496027,1.20023,0.0442072
3.30443,1.8547,-0.647203,1.67607,-0.16538,-0.658273,-0.0503124,1.17969,0.0463123
3.29554,1.8481,-0.676621,1.68089,-0.133452,-0.587999,-0.0510221,1.15916,0.0484174
3.28665,1.8415,-0.70604,1.68571,-0.101524,-0.517725,-0.0517317,1.13862,0.0505225
3.27776,1.83489,-0.735458,1.69054,-0.0695955,-0.447451,-0.0524414,1.11808,0.0526276
3.26887,1.82829,-0.764876,1.69536,-0.0376674,-0.377177,-0.053151,1.09755,0.0547327
3.25998,1.82168,-0.794295,1.70018,-0.00573918,-0.306903,-0.0538607,1.07701,0.0568378
3.25109,1.81508,-0.823713,1.705,0.026189,-0.236629,-0.0545703,1.05647,0.0589429
3.2422,1.80847,-0.853131,1.70982,0.0581172,-0.166355,-0.05528,1.03594,0.061048
3.23331,1.80187,-0.88255,1.71464,0.0900454,-0.0960808,-0.0559896,1.0154,0.0631531
