loop_cont , time_coordinate , robot_x_ , robot_y_ , robot_yaw , robot_speed_x , robot_speed_y , robot_angvel , world_speed_x , world_speed_y , world_angvel , loop_time_cost , loop_x_Tcost , loop_y_Tcost , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost
1,47.90499999999997272,0.00175583212708936,0.00552831106130953,-0.00490710674191726,-0.00287068712171062,-0.02640348611730284,-0.01687170826380180,0.00667731923051698,0.00655640864188569,-0.01003098752298530,0.00399999999990541,42.64185070754616902,33.81309078394716039,877.52415747453744643,0.00000000000000000,0.00000000000000000,0.00000000000000000
2,47.90800000000001546,0.00175583212708936,0.00552831106130953,-0.00490710674191726,0.00829158006943715,-0.01648915882924865,-0.07773778448564481,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00300000000004275,70.39853822458539412,55.50265272486498702,1449.42152610648690825,0.00000000000000000,0.00000000000000000,0.00000000000000000
3,48.00900000000001455,0.00254455440459392,0.00521221867506518,-0.00604302250243989,0.01976532346141900,-0.00010855160207171,-0.15847214231158341,0.00788722277504562,-0.00316092386244350,-0.01135915760522628,0.00400000000001910,111.00907351418595681,87.12224602446322308,2286.21496238735244333,0.00000000000000000,0.00000000000000000,0.00000000000000000
4,48.10900000000003729,0.00507564057676348,0.00354182940022950,-0.01345782617761053,0.02553426979951016,0.02894102275117856,-0.23107625983833810,0.02531086172169555,-0.01670389274835686,-0.07414803675170646,0.00400000000001910,168.39743118816986112,131.84751857706316969,3468.45423216437484371,0.00000000000000000,0.00000000000000000,0.00000000000000000
5,48.20900000000006003,0.00765798327594767,0.00180202842115187,-0.02804123841702609,0.03493682404835653,0.06339840475631855,-0.29072694433575835,0.02582342699184188,-0.01739800979077627,-0.14583412239415552,0.00300000000004275,246.43885606478340833,193.24408014606768802,5076.42107439984283701,0.00000000000000000,0.00000000000000000,0.00000000000000000
6,48.30899999999996908,0.00938210360884718,-0.00056269535748890,-0.04874628580997827,0.05227422237367312,0.10722571622068876,-0.34326297193222505,0.01724120332899511,-0.02364723778640771,-0.20705047392952178,0.00399999999990541,348.00851237733508015,274.01217647075344530,7168.08218938257959962,0.00000000000000000,0.00000000000000000,0.00000000000000000
7,48.40899999999999181,0.01405774035285665,0.00045891853952256,-0.07402199527736807,0.05602864619388365,0.13567494408143363,-0.39741866095968376,0.04675636744009470,0.01021613897011460,-0.25275709467389801,0.00400000000001910,475.53630680817150278,374.98000671020258778,9794.78382407205936033,0.00000000000000000,0.00000000000000000,0.00000000000000000
8,48.50900000000001455,0.02064964166348320,0.00467412241045790,-0.10218392497100186,0.05330777269798196,0.14971172431072957,-0.46270854583547993,0.06591901310626551,0.04215203870935345,-0.28161929693633792,0.00400000000001910,631.04295845163960621,497.07129275578500938,12998.88505352827087336,0.00000000000000000,0.00000000000000000,0.00000000000000000
9,48.60900000000003729,0.02707935916269825,0.00625084202938084,-0.12824668051177859,0.05301830794194694,0.18468130725090051,-0.56643910719045942,0.06429717499215049,0.01576719618922933,-0.26062755540776733,0.00400000000001910,814.14350057778449354,642.43858765686684364,16773.85654447327397065,0.00000000000000000,0.00000000000000000,0.00000000000000000
10,48.70900000000006003,0.03199831110453692,0.00758809474604875,-0.16217151170221564,0.06184864739828363,0.22864587210766862,-0.65362565223815805,0.04918951941838674,0.01337252716667916,-0.33924831190437044,0.00400000000001910,1022.53648442489236459,808.70508864714474839,21067.10534932132577524,0.00000000000000000,0.00000000000000000,0.00000000000000000
11,48.80899999999996908,0.03840845709678879,0.01128434295576635,-0.20292139815743976,0.06398995900997055,0.26352534592075388,-0.72714881067751358,0.06410145992251870,0.03696248209717601,-0.40749886455224121,0.00399999999990541,1252.53660722521112802,991.23605653830634310,25802.68715367570621311,0.00000000000000000,0.00000000000000000,0.00000000000000000
12,48.91100000000005821,0.04900154625100652,0.01582398609525204,-0.24704316167720289,0.04241404640957347,0.29180645592936344,-0.79970800783793816,0.10593089154217729,0.04539643139485690,-0.44121763519763130,0.00600000000008549,1498.81983687836759600,1186.87153395652421750,30881.40917269447527360,0.00000000000000000,0.00000000000000000,0.00000000000000000
13,49.00999999999999091,0.05798297517750055,0.01926774645614401,-0.29011267194421331,0.02766393925466551,0.29999999820246237,-0.80000000000000004,0.08981428926494027,0.03443760360891966,-0.43069510267010419,0.00499999999999545,1756.13487691894920317,1392.10442522315292990,36180.89956682454794645,0.00000000000000000,0.00000000000000000,0.00000000000000000
14,49.11000000000001364,0.06339812600608749,0.02315004670810645,-0.31978100384849378,0.03545352445471726,0.29999999999999999,-0.80000000000000004,0.05415150828586943,0.03882300251962435,-0.29668331904280476,0.00499999999999545,2018.83349162503213847,1598.83105105671211277,41580.44638672249129741,0.00000000000000000,0.00000000000000000,0.00000000000000000
15,49.21299999999996544,0.06953066303237888,0.02988636976225029,-0.36977307246028418,0.03450612298868080,0.29999999999999999,-0.80000000000000004,0.06132537026291393,0.06736323054143840,-0.49992068611790397,0.00699999999994816,2281.21532786492298328,1795.52414902183863887,46894.98419830229977379,0.00000000000000000,0.00000000000000000,0.00000000000000000
16,49.31299999999998818,0.07518705158500315,0.03769587958445502,-0.42382648767498643,0.03381472469711233,0.29999999999999999,-0.80000000000000004,0.05656388552624264,0.07809509822204734,-0.54053415214702250,0.00699999999994816,2538.42616290835667314,1975.50275815442273597,52005.52589143431396224,0.00000000000000000,0.00000000000000000,0.00000000000000000
17,49.41200000000003456,0.08576509806911638,0.04333089377242777,-0.48076917005048270,-0.00386630671389542,0.29999999999999999,-0.80000000000000004,0.10578046484113229,0.05635014187972749,-0.56942682375496267,0.00700000000006185,2782.68080681527226261,2134.10076498299804371,56779.10213781877246220,0.00000000000000000,0.00000000000000000,0.00000000000000000
