2.74663,2.32865,2.08731,2.04436,2.05601
2.7532,2.33514,2.09359,2.05092,2.06262
2.75974,2.34162,2.09986,2.05747,2.06921
2.76625,2.34806,2.1061,2.06398,2.07577
2.77274,2.35448,2.11232,2.07046,2.08229
2.77921,2.36088,2.11851,2.07693,2.08879
2.78566,2.36726,2.1247,2.08337,2.09526
2.79209,2.37363,2.13086,2.08978,2.10171
2.79852,2.38,2.13704,2.0962,2.10815
2.805,2.38641,2.14328,2.10265,2.1146
2.81144,2.3928,2.14949,2.10907,2.12102
2.81788,2.39918,2.15569,2.11547,2.12742
2.82428,2.40552,2.16186,2.12184,2.13379
2.83066,2.41185,2.16802,2.12819,2.14012
2.83702,2.41815,2.17415,2.13451,2.14643
2.84336,2.42443,2.18026,2.1408,2.15271
2.84967,2.43069,2.18635,2.14707,2.15897
2.85596,2.43692,2.19243,2.15332,2.1652
2.86224,2.44314,2.19848,2.15955,2.1714
2.86848,2.44933,2.20451,2.16574,2.17757
2.87471,2.45551,2.21054,2.17192,2.18373
2.88092,2.46166,2.21653,2.17807,2.18985
2.88711,2.4678,2.22251,2.1842,2.19595
2.89326,2.4739,2.22846,2.1903,2.20201
2.8994,2.47999,2.2344,2.19638,2.20806
2.90551,2.48605,2.24031,2.20242,2.21407
2.91161,2.49209,2.2462,2.20845,2.22005
2.91768,2.49811,2.25208,2.21445,2.22601
2.92373,2.50411,2.25793,2.22043,2.23194
2.92974,2.51007,2.26375,2.22637,2.23783
2.93574,2.51602,2.26956,2.23229,2.2437
2.94172,2.52195,2.27535,2.23819,2.24955
2.94766,2.52784,2.2811,2.24406,2.25536
2.9536,2.53373,2.28684,2.24991,2.26115
2.95949,2.53957,2.29255,2.25572,2.2669
2.96538,2.54541,2.29826,2.26151,2.27264
2.97124,2.55122,2.30393,2.26729,2.27834
2.97707,2.557,2.30958,2.27302,2.28401
2.98288,2.56277,2.31521,2.27874,2.28966
2.98868,2.56851,2.32083,2.28444,2.29528
2.99445,2.57423,2.32642,2.2901,2.30088
3.00019,2.57993,2.33199,2.29575,2.30645
3.00591,2.5856,2.33754,2.30137,2.31199
3.01162,2.59126,2.34307,2.30696,2.3175
3.0173,2.5969,2.34858,2.31254,2.323
3.02296,2.60251,2.35406,2.31808,2.32845
3.0286,2.6081,2.35953,2.3236,2.33389
3.03421,2.61366,2.36498,2.3291,2.3393
3.0398,2.61921,2.3704,2.33458,2.34468
3.04538,2.62474,2.37581,2.34003,2.35004
3.05093,2.63025,2.3812,2.34547,2.35538
3.05647,2.63573,2.38657,2.35087,2.36069
3.06198,2.6412,2.39192,2.35626,2.36597
3.06746,2.64664,2.39724,2.36161,2.37123
3.07293,2.65206,2.40255,2.36695,2.37645
3.07838,2.65747,2.40784,2.37226,2.38166
3.08382,2.66285,2.41311,2.37756,2.38685
3.08923,2.66822,2.41837,2.38283,2.39201
3.09463,2.67358,2.42361,2.38809,2.39715
3.1,2.6789,2.42882,2.39332,2.40227
3.10536,2.68421,2.43402,2.39853,2.40736
3.1107,2.68951,2.43921,2.40372,2.41243
3.11602,2.69479,2.44437,2.40889,2.41748
3.12132,2.70004,2.44952,2.41404,2.4225
3.1266,2.70527,2.45464,2.41916,2.4275
3.13187,2.7105,2.45976,2.42427,2.43248
3.13712,2.7157,2.46486,2.42936,2.43744
3.14236,2.72089,2.46994,2.43443,2.44238
3.14757,2.72607,2.47501,2.43949,2.4473
3.15277,2.73122,2.48006,2.44452,2.45219
3.15796,2.73636,2.48509,2.44953,2.45707
3.16314,2.74149,2.49012,2.45454,2.46194
3.16829,2.7466,2.49512,2.45951,2.46676
3.17343,2.7517,2.50012,2.46448,2.47159
3.17856,2.75678,2.5051,2.46943,2.47639
3.18367,2.76184,2.51006,2.47436,2.48117
3.18877,2.7669,2.51502,2.47928,2.48593
3.19387,2.77196,2.51997,2.48419,2.49069
3.19894,2.77698,2.52489,2.48907,2.49541
3.204,2.782,2.52981,2.49394,2.50013
3.20906,2.78701,2.53473,2.4988,2.50483
