loop_cont , time_coordinate , robot_x_ , robot_y_ , robot_yaw , robot_speed_x , robot_speed_y , robot_angvel , world_speed_x , world_speed_y , world_angvel , loop_time_cost , loop_x_Tcost , loop_y_Tcost , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost
1,12.33485507965087891,-0.00920322785023592,-0.00601091646634906,-0.01387096613269110,0.18503593899952789,0.05996575007036552,0.07574480142375160,-0.12119696513637424,-0.02421874600741328,-0.08011714597162579,0.03136706352233887,494.15613062080331019,34.42133691380620064,882.07187766801894213,0.00000000000000000,0.00000000000000000,0.00000000000000000
2,12.35381102561950684,-0.00919960285426330,-0.00601184729839591,-0.01381855907766202,0.09474792603611526,0.05302855875387468,-0.02942558388350271,0.00003624995972618,-0.00000930832046842,0.00052407055029090,0.01852512359619141,717.62184490886852473,55.71838013401895751,1450.65196728093451384,0.00000000000000000,0.00000000000000000,0.00000000000000000
3,12.45155644416809082,-0.00919718664554192,-0.00600750360825442,-0.01383483551292746,0.11404971412413024,0.06781327614333683,-0.11584604330017857,0.00002416208721379,0.00004343690141489,-0.00016276435265450,0.01620435714721680,1127.86381387091569195,87.76785446290209336,2286.27410691241675522,0.00000000000000000,0.00000000000000000,0.00000000000000000
4,12.55445957183837891,-0.00918080420599665,-0.00602312691700172,-0.01386880362044556,0.14028605171197236,0.08766399702632884,-0.22838962433759211,0.00016382439545271,-0.00015623308747306,-0.00033968107518090,0.01898241043090820,1709.25497382484627451,133.19148062373278663,3468.38438959478753532,0.00000000000000000,0.00000000000000000,0.00000000000000000
5,12.65688514709472656,-0.00912684286343818,-0.00600705020153420,-0.01379510005128367,0.17318640390798562,0.11186839504250452,-0.36781865824145688,0.00053961342558473,0.00016076715467523,0.00073703569161889,0.02149844169616699,2502.50145854480524577,195.15831012144263923,5081.40200170670323132,0.00000000000000000,0.00000000000000000,0.00000000000000000
6,12.75670623779296875,-0.00915383741172182,-0.00598369324515275,-0.01395689527253438,0.20000000000000001,0.14199132480434129,-0.49999998926570466,-0.00026994548283643,0.00023356956381452,-0.00161795221250717,0.02139329910278320,3539.44081895811495997,276.08200221704203159,7187.72894443439145107,0.00000000000000000,0.00000000000000000,0.00000000000000000
7,12.85366845130920410,-0.00823930029973996,-0.00583180385730877,-0.01529309295908428,0.20000000000000001,0.17630298416489279,-0.50000000000000000,0.00914537111981861,0.00151889387843979,-0.01336197686549894,0.01817393302917480,4833.15145297094750276,377.98562246589511915,9841.60142860369160189,0.00000000000000000,0.00000000000000000,0.00000000000000000
8,12.95745038986206055,-0.00469307444002331,-0.00484997187203929,-0.02612527435441527,0.20000000000000001,0.19999998660167234,-0.50000000000000000,0.03546225859716645,0.00981831985269474,-0.10832181395330991,0.02194142341613770,6384.55498421249740204,501.75005806399042285,13061.02889253790453949,0.00000000000000000,0.00000000000000000,0.00000000000000000
9,13.05702710151672363,0.00457699031487596,-0.00068250128947705,-0.04810117364274694,0.17567632844543535,0.19999965012559420,-0.50000000000000000,0.09270064754899277,0.04167470582562242,-0.21975899288331666,0.02149748802185059,8169.53761707777084666,644.05699704079904677,16836.59174516128041432,0.00000000000000000,0.00000000000000000,0.00000000000000000
10,13.16467308998107910,0.02125298358223127,0.00514844985911576,-0.08533403984352855,0.03135353366502040,0.19976140684455060,-0.50000000000000000,0.16675993267355305,0.05830951148592813,-0.37232866200781617,0.02918338775634766,10225.55273761728676618,806.51135936908826807,21107.80177670135890367,0.00000000000000000,0.00000000000000000,0.00000000000000000
11,13.25410103797912598,0.04267878381321383,0.01317394766859770,-0.12919943861227171,-0.11879970605623630,0.16547354659709648,-0.50000000000000000,0.21425800230982561,0.08025497809481935,-0.43865398768743152,0.01853394508361816,12588.74928603794978699,984.73987312168071639,25833.26010424920605146,0.00000000000000000,0.00000000000000000,0.00000000000000000
12,13.35519695281982422,0.06650891597634628,0.02232791216663494,-0.17992273556241967,-0.20000000000000001,0.08461212559045411,-0.50000000000000000,0.23830132163132456,0.09153964498037240,-0.50723296950147956,0.01965832710266113,15206.44893704925380007,1176.33765524665273006,30897.99548690650772187,0.00000000000000000,0.00000000000000000,0.00000000000000000
13,13.45664525032043457,0.08836849482012543,0.03142128586006895,-0.22360476730676482,-0.20000000000000001,0.00126238579891208,-0.50000000000000000,0.21859578843779148,0.09093373693434016,-0.43682031744345151,0.02111721038818359,17908.31025464415506576,1376.20419106774670581,36210.90835404296376510,0.00000000000000000,0.00000000000000000,0.00000000000000000
14,13.55834150314331055,0.10754761862013479,0.04418622036135314,-0.27886106480250650,-0.20000000000000001,-0.11474645277325612,-0.50000000000000000,0.19179123800009357,0.12764934501284186,-0.55256297495741680,0.02279496192932129,20617.67382842622828321,1574.42027271876122541,41558.70710883611900499,0.00000000000000000,0.00000000000000000,0.00000000000000000
15,13.65483188629150391,0.11485950296835201,0.05746858728208785,-0.32596055204230523,-0.19999999548515104,-0.01897676296843584,-0.50000000000000000,0.07311884348217224,0.13282366920734706,-0.47099487239798732,0.01931977272033691,23015.40691131908170064,1767.19143433071667459,46889.08051692803564947,0.00000000000000000,0.00000000000000000,0.00000000000000000
16,13.75702047348022461,0.11308080941003251,0.07106588818893979,-0.37022712400597491,-0.07561950302065637,0.05478509605460670,-0.50000000000000000,-0.01778693558319500,0.13597300906851939,-0.44266571963669676,0.02152824401855469,25381.52494224692054559,1945.12935071709853219,52024.28749228094966384,0.00000000000000000,0.00000000000000000,0.00000000000000000
