time_from_start,base_x,base_y,base_theta,shoulder_pan_joint,shoulder_lift_joint,arm_elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.0,0.968783,1.50335,0.024824,-0.0271772,-1.4137,-1.19861,-0.438758,0.00985937,3.05916
0.01,0.9687779999999999,1.503349764291743,0.024821631705333795,-0.027179684570887454,-1.4137008594602383,-1.1986130117133622,-0.4387615083475719,0.009862748865512484,3.059160427156885
0.02,0.968763,1.503349057166972,0.0248145268213352,-0.02718713828354983,-1.4137034378409534,-1.198622046853449,-0.4387720333902876,0.009872885462049941,3.0591617086275398
0.03,0.968738,1.503347878625687,0.0248026853480042,-0.027199561137987112,-1.4137077351421454,-1.1986371054202607,-0.43878957512814704,0.009889779789612366,3.0591638444119647
0.04,0.968703,1.503346228667888,0.024786107285340798,-0.02721695313419931,-1.413713751363814,-1.1986581874137965,-0.43881413356115034,0.009913431848199766,3.059166834510159
0.05,0.968658,1.5033441072935751,0.024764792633345,-0.027239314272186423,-1.4137214865059595,-1.1986852928340572,-0.4388457086892974,0.009943841637812133,3.059170678922124
0.06,0.9686029999999999,1.5033415145027482,0.024738741392016796,-0.027266644551948452,-1.4137309405685816,-1.1987184216810423,-0.43888430051258825,0.009981009158449471,3.059175377647858
0.07,0.968538,1.5033384502954072,0.0247079535613562,-0.027298943973485392,-1.4137421135516808,-1.1987575739547522,-0.4389299090310229,0.01002493441011178,3.0591809306873623
0.08,0.968463,1.5033349146715524,0.024672429141363195,-0.027336212536797248,-1.4137550054552566,-1.1988027496551867,-0.4389825342446014,0.010075617392799061,3.0591873380406365
0.09,0.968378,1.5033309076311834,0.024632168132037793,-0.027378450241884015,-1.4137696162793092,-1.1988539487823453,-0.4390421761533235,0.01013305810651131,3.05919459970768
0.1,0.9682829999999999,1.5033264291743005,0.024587170533379995,-0.0274256570887457,-1.4137859460238384,-1.198911171336229,-0.4391088347571896,0.010197256551248531,3.0592027156884942
0.11,0.968178,1.5033214793009038,0.024537436345389792,-0.0274778330773823,-1.4138039946888445,-1.198974417316837,-0.4391825100561994,0.010268212727010723,3.0592116859830782
0.12,0.968063,1.5033160580109928,0.02448296556806719,-0.027534978207793808,-1.4138237622743273,-1.1990436867241696,-0.439263202050353,0.010345926633797888,3.0592215105914318
0.13,0.967938,1.503310165304568,0.02442375820141219,-0.027597092479980236,-1.4138452487802868,-1.199118979558227,-0.4393509107396505,0.010430398271610021,3.0592321895135557
0.14,0.9678029999999999,1.503303801181629,0.02435981424542479,-0.027664175893941576,-1.4138684542067232,-1.1992002958190089,-0.43944563612409165,0.010521627640447123,3.059243722749449
0.15,0.9676579999999999,1.5032969656421762,0.024291133700104987,-0.027736228449677828,-1.4138933785536365,-1.1992876355065154,-0.4395473782036766,0.010619614740309197,3.0592561102991125
0.16,0.967503,1.5032896586862097,0.02421771656545279,-0.027813250147188995,-1.4139200218210264,-1.1993809986207464,-0.4396561369784054,0.010724359571196244,3.0592693521625463
0.17,0.9673379999999999,1.5032818803137287,0.024139562841468183,-0.027895240986475077,-1.413948384008893,-1.1994803851617017,-0.43977191244827796,0.010835862133108259,3.059283448339749
0.18,0.9671629999999999,1.5032736305247338,0.02405667252815118,-0.02798220096753607,-1.4139784651172365,-1.199585795129382,-0.43989470461329433,0.010954122426045244,3.059298398830722
0.19,0.966978,1.5032649093192252,0.02396904562550178,-0.028074130090371983,-1.4140102651460567,-1.199697228523787,-0.44002451347345445,0.011079140450007201,3.0593142036354655
0.2,0.9667830000000001,1.5032557166972025,0.02387668213351998,-0.02817102835498281,-1.414043784095354,-1.1998146853449163,-0.4401613390287584,0.01121091620499413,3.059330862753978
0.21,0.9665779999999999,1.5032460526586655,0.023779582052205775,-0.028272895761368544,-1.4140790219651276,-1.1999381655927701,-0.4403051812792062,0.01134944969100603,3.0593483761862608
0.22,0.9663629999999999,1.5032359172036147,0.023677745381559173,-0.0283797323095292,-1.414115978755378,-1.2000676692673486,-0.44045604022479773,0.011494740908042898,3.0593667439323133
0.23,0.9661379999999999,1.50322531033205,0.02357117212158017,-0.028491537999464765,-1.4141546544661054,-1.2002031963686517,-0.440613915865533,0.011646789856104739,3.059385965992136
0.24,0.965903,1.5032142320439712,0.023459862272268768,-0.028608312831175244,-1.4141950490973092,-1.2003447468966795,-0.44077880820141213,0.011805596535191549,3.0594060423657283
0.25,0.965658,1.5032026823393787,0.023343815833624968,-0.02873005680466064,-1.4142371626489902,-1.2004923208514318,-0.4409507172324351,0.011971160945303332,3.059426973053091
0.26,0.9654029999999999,1.503190661218272,0.023223032805648764,-0.02885676991992095,-1.414280995121148,-1.2006459182329086,-0.4411296429586018,0.012143483086440084,3.059448758054223
0.27,0.9651379999999999,1.5031781686806513,0.02309751318834016,-0.02898845217695617,-1.4143265465137822,-1.2008055390411099,-0.44131558537991233,0.012322562958601806,3.0594713973691254
0.28,0.9648629999999999,1.5031652047265165,0.022967256981699154,-0.02912510357576631,-1.4143738168268933,-1.200971183276036,-0.44150854449636656,0.0125084005617885,3.0594948909977973
0.29,0.9645779999999999,1.503151769355868,0.022832264185725752,-0.02926672411635136,-1.4144228060604813,-1.2011428509376865,-0.4417085203079647,0.012700995896000166,3.059519238940239
0.3,0.964283,1.5031378625687053,0.02269253480041995,-0.02941331379871133,-1.4144735142145461,-1.2013205420260618,-0.44191551281470653,0.012900348961236803,3.059544441196451
0.31,0.9639779999999999,1.5031234843650287,0.022548068825781746,-0.029564872622846208,-1.4145259412890876,-1.2015042565411613,-0.4421295220165922,0.01310645975749841,3.059570497766433
0.32,0.9636629999999999,1.5031086347448381,0.02239886626181114,-0.029721400588755997,-1.4145800872841057,-1.2016939944829859,-0.44235054791362166,0.013319328284784987,3.059597408650184
0.33,0.963338,1.5030933137081335,0.022244927108508134,-0.02988289769644071,-1.4146359521996006,-1.2018897558515347,-0.44257859050579496,0.013538954543096535,3.0596251738477056
0.34,0.9630029999999999,1.503077521254915,0.02208625136587273,-0.030049363945900333,-1.4146935360355724,-1.2020915406468082,-0.442813649793112,0.013765338532433054,3.059653793358997
0.35,0.9626579999999999,1.5030612573851823,0.021922839033904924,-0.030220799337134868,-1.414752838792021,-1.2022993488688063,-0.44305572577557273,0.013998480252794545,3.059683267184058
