Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8
0.10674957774109439,0.9540688367090179,0.3916405199143081,1.8430922454084677,-0.06928954681593265,-0.9894691991858886,0.7869551845259202,1.5611037713682732,-1.6069374548442574
0.10674087095444806,0.9540648625264049,0.39165235168914186,1.8431010675794295,-0.0693090354430804,-0.9894381659473888,0.7869350061878326,1.5611028595719276,-1.6069397745097345
0.10672583294022932,0.9540570675178203,0.39167135775432216,1.843114521237258,-0.06933963233493964,-0.9893886893307507,0.786903726333607,1.5611023201977894,-1.6069433164633486
0.10670268672381188,0.9540444238445568,0.39169962009682535,1.843133991639659,-0.06938460179582187,-0.989315395593671,0.7868580582321847,1.5611022082275312,-1.6069484459876906
0.10667030133164286,0.9540263868139419,0.3917386319121114,1.8431605702138967,-0.06944638166058159,-0.9892143797056128,0.7867954899987001,1.5611024368810906,-1.6069554501958792
0.10662828342555607,0.9540029603509373,0.3917892093838623,1.8431950070108947,-0.06952645598650302,-0.9890834272423473,0.7867144062516587,1.5611027609135923,-1.6069645254156408
0.10657705160085965,0.9539747505878606,0.39185142092882636,1.8432376731213667,-0.06962525349091733,-0.9889221920656169,0.7866141848179589,1.561102762511032,-1.6069757672119667
0.10651790683054116,0.9539430168119479,0.39192452032298175,1.8432885253050149,-0.06974205170955426,-0.9887323641772302,0.7864952878940243,1.5611018377645483,-1.606989160995935
0.10645298543009041,0.9539096347673468,0.39200698723723376,1.8433471244715463,-0.06987503216952812,-0.988517569515019,0.786359211461519,1.5610992086829487,-1.6070045869577128
0.10638482598558902,0.9538767717774254,0.39209692044903804,1.8434128307799216,-0.07002183121427644,-0.9882823896935662,0.7862079696062044,1.5610940193203884,-1.6070218719805587
0.10631601611486381,0.95384662145417,0.3921923581062659,1.8434849621954696,-0.07017998829731385,-0.9880315637815864,0.7860436750540316,1.561085414518863,-1.607040831834604
0.10624896389335077,0.9538212314592736,0.3922914840819606,1.843562895988651,-0.07034723417463118,-0.9877694743310435,0.7858682699475994,1.561072591499859,-1.6070612981930525
0.10618573630085003,0.953802381285928,0.3923927730832417,1.8436461395496542,-0.07052169300955564,-0.9874997862435803,0.7856833374113814,1.5610548368647266,-1.6070831374864152
0.10612793595091874,0.9537914886108819,0.392495100773554,1.8437343836726308,-0.07070203529813282,-0.9872251729462377,0.7854899592707251,1.5610315552624423,-1.6071062650937002
0.10607660085210574,0.9537895328358507,0.39259783284714195,1.8438275452945982,-0.07088760120923533,-0.9869470950915143,0.7852886015353817,1.5610022930434422,-1.6071306567285546
0.10603211869159955,0.9537969894702958,0.392700900836528,1.843925803590606,-0.07107850527949144,-0.9866656123632684,0.7850790173786125,1.5609667587488085,-1.6071563580581474
0.10599415069802101,0.9538137716699189,0.3928048691760359,1.8440296316954838,-0.07127572882486774,-0.9863792170991107,0.784860161638822,1.5609248415068775,-1.607183493158661
0.10596156211815817,0.9538391767218519,0.39291099623726905,1.844139825417481,-0.07148120389098579,-0.9860846829493976,0.7846301132538632,1.5608766279783264,-1.6072122721705142
0.1059323574842612,0.9538718361198023,0.3930212910091493,1.844257529786511,-0.07169789109787411,-0.9857769243964152,0.784386003414219,1.5608224182421215,-1.6072429983774357
0.10590361953007128,0.9539096683810294,0.3931385664722093,1.8443842639675634,-0.07192985285922232,-0.9854488645118437,0.7841239480430416,1.560762740866384,-1.607276074850475
0.10587145103204859,0.953949834069076,0.39326649033436106,1.844521944878076,-0.0721823229184385,-0.9850913092851181,0.7838389837158077,1.5606983673173251,-1.6073120107470262
0.10583091911480252,0.95398869268192,0.39340963355513514,1.844672909727457,-0.07246177280591674,-0.9846928274549083,0.7835250064495954,1.5606303258024716,-1.607351427322862
0.10577600172732973,0.9540217611900539,0.3935735169318528,1.8448399376197613,-0.07277597560583676,-0.9842396351592196,0.783174712994955,1.5605599146081826,-1.6073950636946495
0.10569953610486145,0.9540436740894832,0.3937646559219017,1.8450262703104614,-0.07313406728094911,-0.9837154849675596,0.7827795443948081,1.5604887149682047,-1.6074437823771035
0.10559316910127312,0.9540481448867013,0.39399060381073514,1.8452356321755825,-0.07354660571273511,-0.9831015590198706,0.7823296316604879,1.5604186034850651,-1.6074985746102426
0.10544730932230446,0.9540279289661984,0.3942599932933566,1.8454722494301565,-0.07402562755515418,-0.9823763661015684,0.7818137434707911,1.5603517641165712,-1.607560565486555
0.1052514503010208,0.9539750819922274,0.39458222487711725,1.8457407074408065,-0.07458424494574709,-0.9815164589948646,0.7812196856335998,1.5602906417162652,-1.6076309765807928
0.10499591089711782,0.9538823472635308,0.39496580592692077,1.8460451895164938,-0.07523448451542412,-0.9805002850913794,0.7805364265854274,1.560237672762701,-1.6077109262374618
0.10467372433338162,0.9537446614341561,0.3954165483115976,1.8463886508729854,-0.07598494211566104,-0.9793123655483574,0.7797564037433375,1.560194992582582,-1.6078012128408228
0.10428231072584569,0.9535604877193566,0.39593597234528094,1.8467720871457325,-0.0768387061509894,-0.9779469956887121,0.7788775659475998,1.56016417643397,-1.6079021228974295
0.10382,0.95334,0.396546,1.84722,-0.0778385,-0.976346,0.777849,1.56013,-1.60802
0.10329803945824872,0.9530794893953508,0.39721263551893204,1.847700719962881,-0.07892466671332449,-0.9745954305308101,0.7767398257147018,1.560108654222009,-1.6081466421834587
0.10270339449020587,0.9527596267132019,0.3979541657163024,1.8482155173877017,-0.080104510637377,-0.972680104044454,0.7755336166204683,1.5600923648846272,-1.6082821098221056
