Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9
0.00012464161839411664,3.8948789039229395e-05,-0.0002635730635123579,-0.0002497642223263995,0.0003636296613934986,-0.0004011311206524225,0.0002265828432486258,-3.7899945049695934e-05,6.617610280161664e-05,0.0
2.4702316131439716e-05,-1.2488344127999532e-05,-0.0002565540894599882,-0.00028222236857042206,0.0002539782888414305,-5.528878025354628e-05,1.224130629629146e-05,-4.5704169399501216e-05,7.441229315439712e-05,0.0377906976744186
-0.00013696685164667864,-9.480513625555271e-05,-0.00023618373328562683,-0.00032445967404505174,6.857091389781336e-05,0.0005031029103067501,-0.00033305194507614316,-5.6643512405226186e-05,8.503089492356755e-05,0.0755813953488372
-0.0003354161470025108,-0.0001967213487953443,-0.00021999736955150766,-0.00038635032117798865,-0.00015116581557490222,0.001189574966649011,-0.0007583100374675161,-7.17199804351173e-05,0.00010071082336906973,0.11337209302325581
-0.0005361488887701318,-0.00030249889771140234,-0.0002308095720874213,-0.0004799172632666069,-0.00034922723970162343,0.001887167075509166,-0.0011928074006985828,-9.205156243110363e-05,0.00012472686186228827,0.1511627906976744
-0.000700365908004676,-0.00039440815016842827,-0.00029399053965898254,-0.0006183528323089665,-0.000462881761526708,0.002464297079139344,-0.001556951106464781,-0.00011884150355667927,0.00016067527313918828,0.18895348837209303
-0.0007856821594631033,-0.0004530650052408166,-0.00043709476766957083,-0.0008158858535596919,-0.0004237428964178622,0.0027772027904522613,-0.0017637664788811719,-0.00015337426102713723,0.00021243655403941546,0.22674418604651161
-0.0007462861784991586,-0.0004575058899094754,-0.0006897783253347801,-0.0010877519664081211,-0.00015800790533777845,0.0026704853223755067,-0.001719227649848718,-0.0001970145861516636,0.0002841671188728504,0.2645348837209302
-0.000539171535460083,-0.00038803271181566594,-0.0010796982459631492,-0.0014480452683958425,0.0004034439046320483,0.0019982391510521605,-0.001335036665527164,-0.00025100942195876156,0.00037971392450711155,0.3023255813953488
-0.00014464746737833135,-0.00023557526403388798,-0.0016189986601234314,-0.0019026278873377066,0.001291797954008342,0.0006935990435143827,-0.0005706828116868144,-0.0003158327073680004,0.0005006826749660163,0.34011627906976744
0.00043790102589439956,2.442310083741397e-07,-0.0023071034935371777,-0.002450594724193403,0.0025071776508500776,-0.001245636601473802,0.0005752519158560839,-0.0003913206580734786,0.0006468369011487234,0.37790697674418605
0.0011966345465953,0.00031413365796478327,-0.0031350779936062667,-0.003086561173532165,0.004029378416193965,-0.0037794574393898166,0.002078670830430507,-0.00047688307499982915,0.0008167212643169042,0.4156976744186046
0.0021108180916702187,0.0006967555792870386,-0.00408797247334866,-0.0038018921938717787,0.005823636511743932,-0.0068377083668695535,0.003897260420178008,-0.0005716168322433284,0.001007996428509064,0.45348837209302323
0.0031528535062114657,0.0011356550567131621,-0.005146160671064993,-0.004585404045135754,0.0078439235094995,-0.010326981203789188,0.005974658241666445,-0.0006743706590688674,0.0012176302576352555,0.49127906976744184
0.004289502401328489,0.0016158179103296377,-0.006286145104477088,-0.0054237865997744505,0.010034928620648443,-0.01413476137841544,0.00824296071119938,-0.0007837841318918972,0.0014420128786765628,0.5290697674418604
0.005482657800130615,0.0021200229461758465,-0.007481065511451033,-0.00630187012595485,0.012333309762879685,-0.01813204440195487,0.010624305446447586,-0.0008983123286293593,0.0016770293668171268,0.5668604651162791
0.0066898540166174265,0.002629074653407665,-0.008701035251418928,-0.007202802070629821,0.014668520617348654,-0.022175064698779175,0.013031916756633602,-0.001016242201773826,0.001918107905484569,0.6046511627906976
0.007864619863755841,0.003121964343937877,-0.009913374911958876,-0.00810817017324269,0.016963384064092965,-0.026106493150168327,0.015370829792921032,-0.0011357040273212644,0.0021602533196606903,0.6424418604651162
0.008956735837308728,0.0035759874186113557,-0.011082783069040585,-0.008998092864163016,0.019134510311517437,-0.029756308991557658,0.017538417723079538,-0.0012546798650316098,0.002398071691531338,0.6802325581395349
0.009912431455076979,0.003966833276272982,-0.01217146802275722,-0.009851289436856576,0.02109261836269366,-0.032942468742251624,0.019424796123380553,-0.001371010182776643,0.002625789461283273,0.7180232558139534
0.010674544934878636,0.004268657993661998,-0.013139255104256386,-0.01064513763940229,0.022742796765559098,-0.03547144738865178,0.020913150080325658,-0.0014823993498198765,0.0028372690963130863,0.7558139534883721
0.01118265911274939,0.004454146124001868,-0.013943678689753101,-0.011355723464372655,0.023984726164204686,-0.037138698960571405,0.021880012512485125,-0.0015864204387249674,0.0030260226311383844,0.7936046511627907
0.011373222454075262,0.004494565657794244,-0.01454006472866257,-0.011957886168077195,0.02471287798093118,-0.03772906652123548,0.022195511870030275,-0.0016805196138703032,0.0031852239040764474,0.8313953488372092
0.011179660850488821,0.004359818747119689,-0.014881607509204118,-0.012425260455839767,0.02481669843420121,-0.03701716087733127,0.021723600890137033,-0.0017620202832836769,0.0033077200186222844,0.8691860465116279
0.010532483871531082,0.004018489871059697,-0.0149194430501609,-0.012730317068958425,0.024180783815355218,-0.034767720453271075,0.020322273936547206,-0.0018281271256326195,0.0033860423664763706,0.9069767441860465
0.009359387817824215,0.0034378925163670243,-0.014602720635496853,-0.012844402551003576,0.0226850508025273,-0.03073596029044648,0.01784377774026526,-0.0018759300618205917,0.003412417424399714,0.944767441860465
0.0076031183628576275,0.0025925584264539815,-0.013890309114097886,-0.01274360904229892,0.020233079825302265,-0.024727136034694567,0.014170548546917665,-0.0019030039951116807,0.0033803703901012804,0.9825581395348837
