loop_cont , time_coordinate , robot_x_ , robot_y_ , robot_yaw , pre_bot speed_x , pre_bot speed_y , Pre_bot angvel , real_bot speed_x , real_bot speed_y , real_bot angvel , world speed_x , world speed_y , world angvel , loop_time_cost , loop_x_Tcost , loop_y_Tcost , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost
1,0.01000000000021828,0.00047304983205814,-0.00106557797381787,-0.00964527042669929,0.02126888026166536,0.02397568348954169,-0.09690342611310006,-0.00192989652009293,-0.00567259076011635,0.00240355306629627,-0.00198451957401262,-0.00565371281286775,0.00240355306629627,0.01000000000021828,350.70330280383416266,274.63387687454644492,10835.71201127406857267,0.00372450057826680,0.03217828593175737,0.00577706734250222
2,0.01600000000007640,0.00047304983205814,-0.00106557797381787,-0.00964527042669929,0.03215589633971491,0.03321867208032830,-0.16222670589083857,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00599999999985812,481.82301645584527705,377.32461616975894003,14885.94364456333460112,0.00000000000000000,0.00000000000000000,0.00000000000000000
3,0.12199999999984357,-0.00132970699930726,-0.00173214802158459,-0.01025653191908568,0.05466027436922376,0.04962536016282760,-0.24164573938492340,-0.01795825433284085,-0.00685024696477704,-0.00611261492386390,-0.01802756831365400,-0.00666570047766714,-0.00611261492386390,0.01199999999971624,644.12302321312097320,504.43135448702969370,19894.81182315066689625,0.32249889868299697,0.04692588347843703,0.03736406120744373
4,0.22400000000016007,-0.00420412200752806,-0.00250218931915648,-0.01248988751126859,0.08030108404738182,0.06758101527662086,-0.33730661146833235,-0.02864573331528424,-0.00805881422882612,-0.02233355592182910,-0.02874415008220796,-0.00770041297571891,-0.02233355592182910,0.01299999999991996,839.21605561130411388,656.90943081787838764,25897.19682465084042633,0.82057803717038513,0.06494448677473037,0.49878772011346756
5,0.32299999999986539,-0.00416689420496786,-0.00357847313778858,-0.01828943204611245,0.08980827199892143,0.08897905833695766,-0.46624979096298075,0.00056905098675000,-0.01075422975985518,-0.05799544534843858,0.00037227802560202,-0.01076283818632101,-0.05799544534843858,0.01299999999991996,1065.85837510493479385,834.57879518542881669,32877.23368862937786616,0.00032381902552115,0.11565345772775479,3.36347168116372641
6,0.42399999999997817,0.00449501858098094,-0.00499917294071201,-0.04246931405563294,0.06140673241302290,0.11159337460471463,-0.48995680799505242,0.08714420472637949,-0.01051663856694926,-0.24179882009520484,0.08661912785948793,-0.01420699802923431,-0.24179882009520484,0.01400000000012369,1320.45928939031637128,1036.60494298306639394,40778.89918602109537460,7.59411241739314136,0.11059968674784453,58.46666939943323626
7,0.52199999999993452,0.00656951174218205,-0.00717122003973108,-0.06274139319370002,0.08822140133952203,0.14438828538025000,-0.50000000000000000,0.02206599267348208,-0.02037702173912003,-0.20272079138067084,0.02074493161201112,-0.02172047099019072,-0.20272079138067084,0.01199999999971624,1604.59869988073955938,1261.68811560659491988,49538.70596879057848128,0.48690803266616478,0.41522301495657049,41.09571925800546666
8,0.62300000000004729,0.00802670576654116,-0.00986749177651818,-0.09253940620359867,0.10242493895710224,0.17955162825216411,-0.50000000000000000,0.01700114525861130,-0.02550079665849831,-0.29798013009898650,0.01457194024359110,-0.02696271736787095,-0.29798013009898650,0.01299999999991996,1914.11279760459638055,1507.22330698942664640,59045.00900500691204797,0.28903894010440151,0.65029063021807854,88.79215793380890887
9,0.72100000000000364,0.00946947014184705,-0.01254093494664489,-0.12985546668340203,0.11418038949364585,0.21605556323288908,-0.50000000000000000,0.01776803561979330,-0.02464109682763032,-0.37316060479803359,0.01442764375305888,-0.02673443170126714,-0.37316060479803359,0.01099999999996726,2245.54421962972310212,1768.74304300366361531,69166.05438585655065253,0.31570308978624351,0.60718365286865283,139.24883697323420506
10,0.82299999999986539,0.01300849378300254,-0.01073213215211350,-0.16902955312956577,0.11912655290159964,0.22992451767767663,-0.50000000000000000,0.03184299874925573,0.02378379740224643,-0.39174086446163742,0.03539023641155492,0.01808802794531396,-0.39174086446163742,0.01199999999971624,2593.76722210502202870,2034.27714110192209773,79744.59181679607718252,1.01397656934510216,0.56566901887110399,153.46090488915098149
11,0.92200000000002547,0.02007161506651064,-0.00553470297845719,-0.20847184090553486,0.11246177343416197,0.23506579909919945,-0.50000000000000000,0.05834506636317213,0.06546715557551679,-0.39442287775969087,0.07063121283508098,0.05197429173656307,-0.39442287775969087,0.01200000000017099,2952.75738108261020898,2295.79693579854892960,90595.76001139747677371,3.40414676892295942,4.28594845914891920,155.56940650023602757
12,1.02300000000013824,0.02400688213723835,-0.00034473505433735,-0.24819806429906707,0.12614393612443220,0.25513642291446453,-0.50000000000000000,0.02539722046834416,0.05997658367744022,-0.39726223393532212,0.03935267070727711,0.05189967924119842,-0.39726223393532212,0.01200000000017099,3322.49786578407338311,2548.22229868065642222,101518.04471823111816775,0.64501880751767959,3.59719058961698890,157.81728251128259899
13,1.12199999999984357,0.03556834480208548,0.00950763500796772,-0.28803524435095118,0.10076629634319012,0.23757876861144492,-0.50000000000000000,0.08286422425771525,0.12730743033182707,-0.39837180051884108,0.11561462664847126,0.09852370062305070,-0.39837180051884108,0.01199999999971624,3686.82693783214381256,2778.54737170547741698,112268.77055581829336006,6.86647966183292535,16.20718181769300159,158.70009144862331141
14,1.22499999999990905,0.04674605508702799,0.01577220251293992,-0.31476810556684043,0.09047046518398504,0.25223218055390628,-0.50000000000000000,0.08689044330466278,0.09417352168293114,-0.26732861215889248,0.11177710284942514,0.06264567504972192,-0.26732861215889248,0.01499999999987267,4041.53413721298784367,2995.51029755214131001,122624.68025974000920542,7.54994913768081677,8.86865218616550166,71.46458687879955107
15,1.32200000000011642,0.04916801228452607,0.02003020981458066,-0.33694637268808691,0.11789033625966400,0.28198874753987668,-0.50000000000000000,0.00878041357585694,0.04819288974704439,-0.22178267121246487,0.02421957197498083,0.04258007301640748,-0.22178267121246487,0.01200000000017099,4383.60415429351360217,3195.76239509226525115,132351.72521391024929471,0.07709566256309287,2.32255462217077602,49.18755325013628976
16,1.42300000000022919,0.05997918962613797,0.02946249268914787,-0.37641675976564970,0.08607933119636983,0.25751295521925416,-0.50000000000000000,0.06587045420862500,0.12745993423861898,-0.39470387077562785,0.10811177341611897,0.09432282874567210,-0.39470387077562785,0.01300000000037471,4690.35479559075974976,3366.29763584352213002,141180.29436984204221517,4.33891673765056307,16.24603483611307553,155.79114560526352307
17,1.52199999999993452,0.07709849900556114,0.03532881408886399,-0.40258623454709602,0.04248285520048441,0.25034343053862168,-0.50000000000000000,0.13452214533605503,0.12104643924338547,-0.26169474781446322,0.17119309379423164,0.05866321399716119,-0.26169474781446322,0.01199999999971624,4960.31832593796661968,3518.33584887648612494,149126.22104570761439390,18.09620758581471378,14.65224045350261051,68.48414103367549899
18,1.62300000000004729,0.08979901704337406,0.04510547721343923,-0.44240268035550051,0.02830073900499222,0.23754926219102127,-0.50000000000000000,0.07292276583859873,0.14272666271749290,-0.39816445808404488,0.12700518037812927,0.09776663124575237,-0.39816445808404488,0.01200000000017099,5201.85462102620931546,3637.71774884139767892,156004.18084807926788926,5.31772977755110254,20.37090025047298170,158.53493568136113367
19,1.72400000000016007,0.09895699880007446,0.06046218175981954,-0.49185045200809402,0.03110905028944110,0.20411442628543763,-0.50000000000000000,0.00820075531079560,0.17861256408892395,-0.49447771652593508,0.09157981756700392,0.15356704546380315,-0.49447771652593508,0.01400000000012369,5413.42718927366604476,3722.27730186402550316,161814.05408246075967327,0.06725238766754225,31.90244805041996656,244.50821214070299447
20,1.82400000000006912,0.10103360863634600,0.07626553023621725,-0.54135390561725960,0.06441109036736394,0.18460568790730836,-0.50000000000000000,-0.06363735388938220,0.14613726539734376,-0.49503453609165582,0.02076609836271545,0.15803348476397708,-0.49503453609165582,0.01299999999991996,5598.94167370833019959,3782.72115087462680094,166636.88416581810452044,4.04971281004246730,21.35610033781368600,245.05919192348088131
21,1.92700000000013461,0.10698270649381936,0.08961892822650531,-0.59139878244498889,0.06862014683278915,0.14786604678827633,-0.49999999967256836,-0.02506110792040670,0.14402236350749165,-0.50044876827729290,0.05949097857473357,0.13353397990288063,-0.50044876827729290,0.01700000000028012,5751.23762306693515711,3824.06757101646826413,170520.91732005641097203,0.62805913019827142,20.74244119028406175,250.44896967025960066
22,2.02899999999999636,0.12055611426672837,0.10196343097539881,-0.64406982651066935,0.04646696287022929,0.09393543584359604,-0.49880614626539221,0.03441775918850495,0.18021607176151816,-0.52671044065680461,0.13573407772909010,0.12344502748893496,-0.52671044065680461,0.01899999999977808,5868.69690734451432945,3846.35990817477613746,173527.06463083825656213,1.18458214755791724,32.47783252115266350,277.42388829688530905
23,2.12800000000015643,0.13238855703586885,0.11231076804032640,-0.70374223770105537,-0.01693435884495208,0.02192854272902160,-0.38236156615095118,0.02325855090666654,0.15545561563270377,-0.59672411190386021,0.11832442769140486,0.10347337064927589,-0.59672411190386021,0.01800000000002910,5962.53901142888844333,3853.48466648920793887,175730.90580785952624865,0.54096019027799880,24.16644843174293200,356.07966572745067424
24,2.22900000000026921,0.14371998312374143,0.11894566176893157,-0.76435889579797556,-0.00245484096041514,0.01183446870604553,-0.23672767572025455,0.03587480275174661,0.12631429738950223,-0.60616658096920184,0.11331426087872576,0.06634893728605165,-0.60616658096920184,0.01900000000023283,6033.71374393446512840,3850.62400100283230131,177275.27873520657885820,1.28700147247672603,15.95530172500361132,367.43792388389192638
25,2.32900000000017826,0.15646261203309031,0.12437658961244374,-0.82066257805398357,-0.01589464779876056,0.01073530123081514,-0.13400053042711205,0.04713862429973860,0.13024940297525001,-0.56303682256008014,0.12742628909348880,0.05430927843512179,-0.56303682256008014,0.01800000000002910,6083.90606865112749801,3841.70360530715106506,178290.71989066718379036,2.22204990087190657,16.96490697540906467,317.01046355855118009
26,2.42300000000022919,0.16573057146431153,0.13024894052841804,-0.87072169867438654,-0.01507644360725744,-0.00107125400747588,-0.04163805656064896,0.01479972993975571,0.10871488271446988,-0.50059120620402964,0.09267959431221218,0.05872350915974295,-0.50059120620402964,0.01300000000037471,6115.35656941673369147,3832.95849880063087767,178881.11296123487409204,0.21903200628970151,11.81892572362094285,250.59155572880530372
27,2.52899999999999636,0.17672606753770345,0.13498487946442445,-0.91370663583488743,-0.03482230243695992,-0.03116736781836786,0.06613838201918949,0.02966425712675982,0.11598722774371908,-0.42984937160500891,0.10995496073391925,0.04735938936006406,-0.42984937160500891,0.01899999999977808,6131.36751719692165352,3828.81707986280480327,179162.97527135777636431,0.87996815088252067,13.45303699967335831,184.77048226922104845
28,2.62800000000015643,0.18764904497831278,0.13729233190197823,-0.95262314580984342,-0.05595192015109783,-0.05194151579954424,0.16917758354460705,0.04449951062328925,0.10238833354562953,-0.38916509974955993,0.10922977440609327,0.02307452437553786,-0.38916509974955993,0.01800000000002910,6139.00946360151192494,3827.89015982972387064,179260.59031991445226595,1.98020644571223237,10.48337084625108417,151.44947486308493012
29,2.72900000000026921,0.19902819002539318,0.14139832538563976,-0.97954463505550016,-0.08126610574835519,-0.07723843239068581,0.21927063556350462,0.02933768096287594,0.11736146269008854,-0.26921489245656738,0.11379145047080402,0.04105993483661530,-0.26921489245656738,0.01900000000023283,6146.29863702325110353,3828.42867812912209047,179292.92597388190915808,0.86069952427949359,13.77371292475704401,72.47665832040114253
29,2.72900000000026921,0.20875478539980835,0.14423699514472241,-1.00629220249433304,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02933768096287594,0.11736146269008854,-0.26921489245656738,0.11379145047080402,0.04105993483661530,-0.26921489245656738,0.01900000000023283,6146.29863702325110353,3828.42867812912209047,179292.92597388190915808,0.86069952427949359,13.77371292475704401,72.47665832040114253
