-1.2,2.39999,1.39921e-06,1.57,-0.867797,-2.2043,-0.0346972,1.6315,-5.61311e-06,-0.799775,-5.99939
-1.19995,2.39995,1.39975e-05,1.57001,-0.867772,-2.20426,-0.0346718,1.6315,-5.61307e-05,-0.79775,-5.99385
-1.19991,2.3999,2.88863e-05,1.57002,-0.867743,-2.20421,-0.0346418,1.63149,-0.000115833,-0.795725,-5.98832
-1.19985,2.39983,4.58113e-05,1.57003,-0.867709,-2.20416,-0.0346076,1.63149,-0.0001837,-0.7937,-5.98278
-1.19979,2.39977,6.47723e-05,1.57004,-0.867672,-2.2041,-0.0345694,1.63149,-0.000259732,-0.791675,-5.97725
-1.19972,2.39969,8.57695e-05,1.57006,-0.86763,-2.20404,-0.0345271,1.63148,-0.000343928,-0.78965,-5.97171
-1.19962,2.39958,0.000116438,1.57008,-0.867569,-2.20394,-0.0344652,1.63148,-0.000466905,-0.787625,-5.96618
-1.1995,2.39944,0.000155251,1.57011,-0.867492,-2.20382,-0.034387,1.63147,-0.00062254,-0.7856,-5.96064
-1.19936,2.39929,0.0001961,1.57014,-0.867411,-2.2037,-0.0343046,1.63146,-0.00078634,-0.783575,-5.95511
-1.19922,2.39914,0.000238985,1.57016,-0.867326,-2.20357,-0.0342181,1.63146,-0.000958304,-0.78155,-5.94957
-1.19908,2.39897,0.000283907,1.5702,-0.867237,-2.20343,-0.0341275,1.63145,-0.00113843,-0.779525,-5.94404
-1.19892,2.3988,0.000330864,1.57023,-0.867144,-2.20329,-0.0340329,1.63144,-0.00132672,-0.7775,-5.9385
-1.19876,2.39863,0.000380112,1.57026,-0.867046,-2.20313,-0.0339336,1.63143,-0.0015242,-0.775475,-5.93297
-1.1986,2.39844,0.000431396,1.5703,-0.866944,-2.20298,-0.0338302,1.63142,-0.00172985,-0.77345,-5.92743
-1.19843,2.39825,0.000484716,1.57033,-0.866838,-2.20281,-0.0337226,1.63141,-0.00194365,-0.771425,-5.9219
-1.19825,2.39805,0.000540073,1.57037,-0.866729,-2.20264,-0.033611,1.6314,-0.00216562,-0.7694,-5.91636
-1.19806,2.39784,0.000597465,1.57041,-0.866615,-2.20247,-0.0334953,1.63139,-0.00239576,-0.767375,-5.91083
-1.19787,2.39763,0.000656893,1.57045,-0.866497,-2.20229,-0.0333755,1.63138,-0.00263406,-0.76535,-5.90529
-1.19767,2.3974,0.000718358,1.5705,-0.866375,-2.2021,-0.0332515,1.63137,-0.00288052,-0.763325,-5.89976
-1.19746,2.39718,0.000781859,1.57054,-0.866249,-2.2019,-0.0331235,1.63136,-0.00313515,-0.7613,-5.89422
-1.19725,2.39694,0.000847395,1.57058,-0.866119,-2.2017,-0.0329914,1.63134,-0.00339795,-0.759275,-5.88869
-1.19703,2.39669,0.000914968,1.57063,-0.865985,-2.20149,-0.0328551,1.63133,-0.0036689,-0.75725,-5.88315
-1.1968,2.39644,0.000984832,1.57068,-0.865846,-2.20128,-0.0327142,1.63132,-0.00394905,-0.755225,-5.87762
-1.19657,2.39618,0.00105673,1.57073,-0.865704,-2.20106,-0.0325693,1.6313,-0.00423736,-0.7532,-5.87208
-1.19633,2.39592,0.00113067,1.57078,-0.865557,-2.20083,-0.0324202,1.63129,-0.00453383,-0.751175,-5.86655
-1.19608,2.39564,0.00120664,1.57083,-0.865406,-2.2006,-0.032267,1.63128,-0.00483846,-0.74915,-5.86101
-1.19583,2.39536,0.00128465,1.57089,-0.865252,-2.20036,-0.0321097,1.63126,-0.00515126,-0.747125,-5.85548
-1.19557,2.39507,0.00136469,1.57094,-0.865093,-2.20012,-0.0319483,1.63125,-0.00547223,-0.7451,-5.84994
-1.1953,2.39477,0.00144677,1.571,-0.86493,-2.19986,-0.0317828,1.63123,-0.00580136,-0.743075,-5.84441
-1.19503,2.39447,0.00153089,1.57106,-0.864763,-2.19961,-0.0316132,1.63122,-0.00613865,-0.74105,-5.83887
-1.19475,2.39416,0.00161704,1.57111,-0.864592,-2.19934,-0.0314395,1.6312,-0.00648411,-0.739025,-5.83334
-1.19446,2.39384,0.00170523,1.57118,-0.864417,-2.19907,-0.0312617,1.63119,-0.00683774,-0.737,-5.8278
-1.19417,2.39351,0.00179571,1.57124,-0.864238,-2.19879,-0.0310793,1.63117,-0.00720054,-0.734975,-5.82227
-1.19386,2.39318,0.00188822,1.5713,-0.864054,-2.19851,-0.0308927,1.63115,-0.00757152,-0.73295,-5.81673
-1.19356,2.39284,0.00198277,1.57137,-0.863867,-2.19822,-0.0307021,1.63113,-0.00795065,-0.730925,-5.8112
-1.19324,2.39249,0.00207936,1.57143,-0.863675,-2.19792,-0.0305073,1.63112,-0.00833796,-0.7289,-5.80566
-1.19292,2.39213,0.00217798,1.5715,-0.86348,-2.19762,-0.0303085,1.6311,-0.00873342,-0.726875,-5.80013
-1.1926,2.39177,0.00227864,1.57157,-0.86328,-2.19731,-0.0301055,1.63108,-0.00913705,-0.72485,-5.79459
-1.19226,2.3914,0.00238134,1.57164,-0.863076,-2.197,-0.0298984,1.63106,-0.00954885,-0.722825,-5.78906
-1.19192,2.39102,0.00248607,1.57171,-0.862868,-2.19668,-0.0296872,1.63104,-0.00996881,-0.7208,-5.78352
-1.19157,2.39063,0.00259284,1.57179,-0.862657,-2.19635,-0.029472,1.63102,-0.0103969,-0.718775,-5.77799
-1.19122,2.39024,0.00270164,1.57186,-0.862441,-2.19602,-0.0292526,1.631,-0.0108332,-0.71675,-5.77245
