loop_cont , time_coordinate , robot_x_ , robot_y_ , robot_yaw , pre_bot speed_x , pre_bot speed_y , Pre_bot angvel , real_bot speed_x , real_bot speed_y , real_bot angvel , world speed_x , world speed_y , world angvel , loop_time_cost , loop_x_Tcost , loop_y_Tcost , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost
1,0.00799999999999912,-0.00930931168109777,-0.00657935888171420,0.00478845153696846,0.05827193926645378,0.03552977377923151,-0.15190178888465392,-0.03975034359361795,0.01895678825038525,0.03721858128490069,-0.03984066118628397,0.01876622905168627,0.03721858128490069,0.00799999999999912,43.89555577030573374,34.00397688550407338,1316.26897978498618613,1.58008981581068397,0.35935982076994438,1.38522279286075967
2,0.01500000000000057,-0.00934863043929081,-0.00655921269298240,0.00481946493264789,0.06063170124484414,0.05001331092861609,-0.20907541547884706,-0.00039221208086517,0.00020335449404780,0.00031013395679427,-0.00039318758193043,0.00020146188731799,0.00031013395679427,0.00700000000000145,71.80661864425181307,55.82766976504926504,2174.81750508801997057,0.00015383031637659,0.00004135305024944,0.00009618307115687
3,0.11599999999999966,-0.00938900451634742,-0.00654297170302554,0.00485768024468815,0.07393999090124251,0.06275172740710390,-0.28810684022553573,-0.00040294707477054,0.00016436921922647,0.00038215312040263,-0.00040374077056616,0.00016240989956866,0.00038215312040263,0.00799999999999912,112.85055655555467524,87.89411235031236913,3432.25767275276393775,0.00016236634506614,0.00002701724022912,0.00014604100743347
4,0.21499999999999986,-0.00591440912564962,-0.00409051818147360,-0.00745450025376520,0.07104185896355376,0.06516370860617980,-0.31836521290730369,0.03456217204171521,0.02478286513303036,-0.12312180498453351,0.03474595390697804,0.02452453521551936,-0.12312180498453351,0.00699999999999790,169.81274925784802576,132.69513920881411195,5204.67551668531996256,1.19454373624112065,0.61419040420197168,15.15897886264949967
5,0.31500000000000128,-0.00597338592134617,-0.00229444601731960,-0.01555026730495144,0.09610336136485999,0.07951531618800124,-0.41093869762263163,-0.00086897941886715,0.01794937945717156,-0.08095767051186235,-0.00058976795696553,0.01796072164154001,-0.08095767051186235,0.00700000000000145,248.91032544861624842,194.02317456252984584,7620.80612190368719894,0.00075512523041470,0.32218022289753223,6.55414441470726761
6,0.41300000000000026,-0.00444869857637242,-0.00332322900446620,-0.03781522093518391,0.10423870004974499,0.10894628964306834,-0.43688123245750116,0.01562491714972099,-0.00970404851187871,-0.22264953630232473,0.01524687344973753,-0.01028782987146605,-0.22264953630232473,0.00499999999999901,351.44922616871554055,274.96155705956863358,10757.54084241540476796,0.24413803593564504,0.09416855752089540,49.57281601564021400
7,0.51300000000000168,-0.00217365766990000,-0.00136930105235127,-0.05903750546010698,0.11614462192304706,0.11952386292259097,-0.51295379022226051,0.02155789279788520,0.02084758535017376,-0.21222284524923063,0.02275040906472420,0.01953927952114931,-0.21222284524923063,0.00500000000000256,480.18705646772878026,375.75690464387503198,14700.97895694301587355,0.46474274188511078,0.43462181493277957,45.03853604567888880
8,0.61599999999999966,0.00092707044866212,0.00076240945869220,-0.08200500021992065,0.12574094368513222,0.13821977150716616,-0.59048804045172487,0.02915692982496404,0.02378537155471032,-0.22967494759813667,0.03100728118562118,0.02131710511043475,-0.22967494759813667,0.00699999999999790,637.13665579438293207,498.94211428666284291,19513.53030563460197300,0.85012655681787752,0.56574389999562258,52.75058155420682482
9,0.71600000000000108,0.00457966597187948,0.00371181396889003,-0.11562361489720485,0.13379089996522323,0.15612090347401000,-0.62861747858002992,0.03287945786927866,0.03351097361048476,-0.33618614677284203,0.03652595523217358,0.02949404510197825,-0.33618614677284203,0.00799999999999912,822.04966004020786841,643.91562277034540784,25172.58149157264051610,1.08105874977767025,1.12298535232260588,113.02112528197089603
10,0.81500000000000128,0.01350075227222234,0.00728120467408039,-0.16292957237534528,0.11548179173303076,0.17007182298017223,-0.62799299171268008,0.08223948531994593,0.04969205301410716,-0.47305957478140426,0.08921086300342861,0.03569390705190358,-0.47305957478140426,0.00700000000000145,1029.25581889706336369,808.92063027130780029,31599.94854584138010978,6.76333294568960230,2.46930013275683669,223.78536129236300667
11,0.91499999999999915,0.02415289874696715,0.01064679538765574,-0.20646638698854944,0.10035093946923174,0.18816370246006847,-0.67907992981738019,0.09735955126108824,0.05477828324538674,-0.43536814613204161,0.10652146474744807,0.03365590713575348,-0.43536814613204161,0.00699999999999790,1257.56327128074144639,991.75468262093079375,38700.36177933416911401,9.47888222176046824,3.00066031531181698,189.54542266645074733
12,1.01399999999999935,0.03278785786189140,0.01500395151115893,-0.25043092573175024,0.09746569674780614,0.20599123690214285,-0.71818532009545122,0.07285800957818579,0.06361165994064669,-0.43964538743200804,0.08634959114924255,0.04357156123503193,-0.43964538743200804,0.00499999999999901,1504.25621416736339597,1187.62590096980738963,46317.97888073698413791,5.30828955969501237,4.04644328040447387,193.28806669024046982
13,1.11200000000000188,0.03888339577700408,0.01791103404029786,-0.28834227831045894,0.09992554005673991,0.23431392838585596,-0.78379206721399142,0.05017225638848024,0.04520415710384064,-0.37911352578708701,0.06095537915112678,0.02907082529138929,-0.37911352578708701,0.00400000000000134,1763.89058103381603360,1393.57972706597729484,54274.28146257995831547,2.51725531111139622,2.04341581946870621,143.72706543471628038
14,1.21199999999999974,0.04596700178075321,0.02019697627596088,-0.34209668482810029,0.08378735899160968,0.25909331831063886,-0.74719216379080633,0.05906285874380525,0.04529767443393966,-0.53754406517641351,0.07083606003749132,0.02285942235663023,-0.53754406517641351,0.00399999999999778,2028.13198664230253598,1602.59179032210704463,62322.58217043452896178,3.48842128299069243,2.05187930912319061,288.95362200638430750
15,1.31400000000000006,0.05113269702603391,0.02520824186997450,-0.39844612457579498,0.08200186850112677,0.27323634999704172,-0.72016357446025692,0.02816736259684774,0.06622928888659259,-0.56349439747694685,0.05165695245280696,0.05011265594013624,-0.56349439747694685,0.00600000000000023,2293.71611184840412534,1801.96346320999555246,70276.14576221605238970,0.79340031566229685,4.38631870642373656,317.52593598790735996
16,1.41300000000000026,0.06080426196261002,0.02977094151804813,-0.45119532425851622,0.05462397801599778,0.27702635548099813,-0.70295220149550475,0.06714171291138166,0.08323298641415904,-0.52749199682721237,0.09671564936576116,0.04562699648073626,-0.52749199682721237,0.00499999999999901,2549.42965133155439617,1987.15302120712294709,77940.82717715202306863,4.50800961267439426,6.92773002741958255,278.24780671675978283
17,1.51300000000000168,0.07253682031786785,0.03389390315213058,-0.49850561285739831,0.02470657021717584,0.28044319093724662,-0.69158916016079264,0.08333439032713465,0.09230684269527022,-0.47310288598882089,0.11732558355257820,0.04122961634082444,-0.47310288598882089,0.00500000000000256,2792.53763482524573192,2149.22084773796450463,85121.64331347508414183,6.94462061119523266,8.52055320836936048,223.82634073095124450
18,1.61299999999999955,0.08504139458760401,0.04278437146541938,-0.55390896967571390,-0.00101635279291277,0.26234796466945931,-0.61428376806356988,0.05958299781813524,0.14138722297540932,-0.55403356818315597,0.12504574269736168,0.08890468313288803,-0.55403356818315597,0.00499999999999901,3018.97271720171784182,2273.60825488187128940,91620.34554641495924443,3.55013362899590890,19.99034682069811453,306.95319467375975364
19,1.71199999999999974,0.09645605239147124,0.05488833647626536,-0.61006955691920817,-0.01215938187430251,0.23704715574518839,-0.53745311492455294,0.02420889032314803,0.16460245382629896,-0.56160587243494264,0.11414657803867231,0.12103965010845985,-0.56160587243494264,0.00399999999999778,3224.49192685947446080,2363.72718058009195374,97330.11170378682436422,0.58607037067821055,27.09396780563887930,315.40115595341308108
20,1.81299999999999883,0.11006954298129067,0.06367735736080297,-0.66596921343137006,-0.03733126187635880,0.21315992276001580,-0.44953607900789933,0.05274491150234064,0.15321676058905656,-0.55899656512161888,0.13613490589819421,0.08789020884537611,-0.55899656512161888,0.00499999999999901,3401.16205069608713529,2433.00293693643425286,102154.27739118313184008,2.78202568938974570,23.47537572540427320,312.47715981776832450
21,1.91400000000000148,0.12505956248563579,0.07641871810164697,-0.72633041906870133,-0.05893386878466555,0.16920937446110873,-0.32566318107125841,0.02744857604297062,0.19480983419763503,-0.60361205637331272,0.14990019504345128,0.12741360740843991,-0.60361205637331272,0.00600000000000023,3548.25586468835399501,2472.56350513074767150,106059.06352810206590220,0.75342432678674043,37.95087150011005406,364.34751459921926653
22,2.01300000000000168,0.13652967334698665,0.09258240405799840,-0.78700561824542825,-0.05501526868718004,0.12799147976208650,-0.19631468866074531,-0.03350264216596924,0.19534684961529886,-0.60675199176726924,0.11470110861350857,0.16163685956351440,-0.60675199176726924,0.00500000000000256,3670.00206671633213773,2487.88088294016779400,109128.46280723484233022,1.12242703210097994,38.16039165462218818,368.14797951354836414
23,2.11800000000000210,0.14349659938244669,0.10942087966161373,-0.83365718976003922,-0.02573104744660502,0.08825319117791312,-0.12504056784542661,-0.07784139987122471,0.16476634477283295,-0.46651571514610968,0.06966926035460036,0.16838475603615330,-0.46651571514610968,0.01000000000000156,3767.43190818752600535,2488.25776529596942055,111453.56539263579179533,6.05928353391190200,27.14794836980005499,217.63691247828614905
24,2.21199999999999974,0.15457506211099248,0.12464424377260663,-0.88480286671996144,-0.02018019096657576,0.02745803313267212,0.01222034321326173,-0.04762124707951296,0.18215524136010047,-0.51145676959922226,0.11078462728545790,0.15223364110992899,-0.51145676959922226,0.00399999999999778,3840.67190311073818521,2481.24938790853730097,113124.21794694283744320,2.26778317340802138,33.18053195495645724,261.58802716887191764
25,2.31500000000000128,0.16813226619883948,0.13642296362354861,-0.92371036608373303,-0.02221824101710135,-0.02723870731923204,0.08807273687187016,-0.01224429850117861,0.17917499701371570,-0.38907499363771580,0.13557204087846997,0.11778719850941977,-0.38907499363771580,0.00700000000000145,3893.69349776366152582,2472.31709326442705787,114239.66679098535678349,0.14992284578596485,32.10367955486503178,151.37935067418860058
