Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8
-1.1996003351290463,2.402001934077227,-4.6114448457533735e-05,1.569964414293876,-0.8678941229281646,-2.2044282791201,-0.03479622508738821,1.6315113854699046,0.00019145397558050452
-1.1996003960294304,2.4020015829575785,-4.610915162230414e-05,1.5699644470344514,-0.8678941139814014,-2.2044282409664153,-0.03479621403102604,1.6315113556677354,0.00019143157008389127
-1.199600621526302,2.402000435484129,-4.6086346318534545e-05,1.5699644889809798,-0.8678940689192468,-2.204428154190269,-0.034796166357676475,1.631511325959452,0.0001913363705899298
-1.199601166836831,2.401997754766023,-4.602922716611316e-05,1.56996454149879,-0.8678939525829765,-2.2044279779686833,-0.03479604691545224,1.631511303874954,0.0001910986018479846
-1.1996022413960918,2.4019924967304904,-4.591615999167884e-05,1.5699646322908851,-0.8678937214257579,-2.204427639443258,-0.0347958104705684,1.6315112732705892,0.00019062810780978695
-1.1996041115781149,2.4019832944536663,-4.572044476680119e-05,1.5699648168509421,-0.8678933231114212,-2.2044270320222275,-0.034795401212502027,1.631511193007614,0.0001898133490206954
-1.199607094711821,2.401968496554975,-4.541075463107222e-05,1.5699651732237374,-0.8678926970891112,-2.204426020519632,-0.03479475366858606,1.6315110019376853,0.000188523291984452
-1.1996115268094616,2.4019463688397416,-4.495361677982804e-05,1.5699657765614934,-0.867891778115782,-2.204424466936899,-0.03479379787528437,1.6315106429280906,0.00018661803255819894
-1.1996177403762327,2.4019152333400524,-4.431511023098071e-05,1.5699666814266362,-0.8678904986479342,-2.204422248329354,-0.034792462916890664,1.6315100795871176,0.00018395606959743205
-1.1996260522181217,2.4018735452674673,-4.346178694358398e-05,1.5699679117779795,-0.8678887901120079,-2.204419266822271,-0.034790678845145376,1.631509305748865,0.00018039825652385854
-1.1996367557823666,2.401819941817541,-4.2361240872629076e-05,1.5699694544406835,-0.86788658366651,-2.204415456067587,-0.03478837786490431,1.631508351675038,0.00017581024694663899
-1.1996501157547632,2.4017532769571477,-4.0982501764710485e-05,1.5699712543117823,-0.8678838107112107,-2.204410785927736,-0.034785495154445026,1.6315072886211208,0.00017006419059879607
-1.199666369699138,2.4016726077922272,-3.929598000064603e-05,1.5699732174128977,-0.8678804029731527,-2.204405259956038,-0.0347819687522686,1.6315062258255697,0.0001630384653386199
-1.1996857507739591,2.4015770336691937,-3.727211682333518e-05,1.5699752386487131,-0.8678762915095914,-2.2043988904792173,-0.03477773675350104,1.6315052835810915,0.0001546117193179501
-1.1997085089456532,2.401465546139288,-3.488011938268982e-05,1.5699772276166384,-0.8678714057600773,-2.204391675405754,-0.03477273468232144,1.6315045682017395,0.00014465729014494745
-1.199734926606894,2.4013369183549895,-3.2087032342160504e-05,1.56997912768187,-0.8678656728594987,-2.2043835811010686,-0.0347668935635923,1.6315041535184953,0.00013303910722383961
-1.1997653305751197,2.4011896199725884,-2.885702732820119e-05,1.5699809306979353,-0.8678590171203341,-2.204374529185985,-0.03476013844705886,1.631504066595975,0.00011960855403826394
-1.1998001016768953,2.4010217490615453,-2.5150837755915287e-05,1.5699826888252444,-0.8678513596280876,-2.204364385950269,-0.03475238723357046,1.6315042762621261,0.00010420197099647715
-1.199839682678152,2.4008309756627937,-2.0925293340076588e-05,1.5699845243631836,-0.8678426179145617,-2.20435295355663,-0.034743549708402786,1.6315046835633666,8.663859746971952e-05
-1.1998845850530206,2.400614493522904,-1.6132924664628415e-05,1.5699866381891177,-0.8678327056860331,-2.2043399625007223,-0.034733526720131934,1.631505113569948,6.671882245558953e-05
-1.1999353949185259,2.400368977697564,-1.0721618126264184e-05,1.569989317198263,-0.8678215325910721,-2.2043250649722506,-0.03472220946416627,1.6315053081496347,4.422265711922469e-05
-1.1999927783571478,2.400090546459971,-4.6343078927768225e-06,1.5699929410115372,-0.8678090040176326,-2.2043078288765425,-0.0347094788431821,1.6315049194507723,1.8908370342534433e-05
