Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.577582046325777e-06,-1.4860985115702323e-05,2.2418622791938957e-07,1.385730491359341e-06,3.786678290880318e-07,1.614837972769836e-06,4.679556795335872e-07,-1.261363736925827e-06,-9.483028171841293e-07,0.02362694300518135
-9.544056183302607e-06,-4.856631048540992e-05,9.652244797216577e-07,1.7753684224442148e-06,1.9072359267746021e-06,3.6727623246175805e-06,2.0177536109013164e-06,-1.2573900636642008e-06,-4.02927682775439e-06,0.0472538860103627
-2.30800289746052e-05,-0.0001134602180608825,2.4175430739755287e-06,2.2227932792582997e-06,4.923881617486168e-06,7.458501326735113e-06,5.0553397539765335e-06,-9.347166955331343e-07,-1.0063457718295598e-05,0.07088082901554404
-4.548024941592354e-05,-0.00022254404777097934,4.785518567066443e-06,3.842735603697178e-06,9.783627890610903e-06,1.43279401684793e-05,1.0007426004550904e-05,-1.2953163149224794e-06,-1.9913453809680498e-05,0.0945077720207254
-7.915463386650693e-05,-0.00038948233050548823,8.283561052935725e-06,7.811423466123998e-06,1.6858479601128702e-05,2.5708828686455667e-05,1.7321668159899857e-05,-3.3970952268478252e-06,-3.448430839795386e-05,0.11813471502590675
-0.00012625982571761555,-0.0006263145717929974,1.3107499165721791e-05,1.5083322261442638e-05,2.6496119703144005e-05,4.2811403708745396e-05,2.7407012232935558e-05,-8.086950929328023e-06,-5.460109824451232e-05,0.1417616580310881
-0.00018758658874454628,-0.0009365458421158727,1.934815905485242e-05,2.5536005895844025e-05,3.889514310048287e-05,6.575470779835223e-05,4.045353228648104e-05,-1.5194923631080104e-05,-8.063926957606094e-05,0.16538860103626946
-0.00026298648833469646,-0.00131779636842928,2.702450963323126e-05,3.82980202941056e-05,5.415291548631236e-05,9.390159125151169e-05,5.6501528505593517e-05,-2.384315960557837e-05,-0.00011266641478684541,0.1890155440414508
-0.00035179506240460374,-0.001764429387918814,3.6116533874466544e-05,5.2074080975336784e-05,7.231303372000893e-05,0.00012619097961773102,7.55100541315622e-05,-3.275236464330977e-05,-0.00015058287789466803,0.21264248704663213
-0.0004530236621277035,-0.0022687425078547468,4.658012975752146e-05,6.529252234204345e-05,9.338683796508529e-05,0.0001612885206143939,9.738797950114802e-05,-4.038075627042481e-05,-0.00019418549307091552,0.2362694300518135
-0.0005654549720408028,-0.0028215609771665593,5.835452803251909e-05,7.61787548437408e-05,0.00011736411682993297,0.00019766162087686011,0.00012200945584276661,-4.499329079340261e-05,-0.0002431993147222987,0.25989637305699487
-0.0006879410667512247,-0.003414287024050416,7.13812939614999e-05,8.308739369831361e-05,0.00014423101868372772,0.00023388432845185652,0.0001492534254495469,-4.498235556386706e-05,-0.0002973607401785078,0.2835233160621762
-0.0008202954913231771,-0.004045132838906182,8.565912132039365e-05,8.554791937929877e-05,0.0001740158919580392,0.00026958531280343173,0.00017911749169703136,-3.98800842699906e-05,-0.000356658329383613,0.30715025906735755
-0.0009632296353027851,-0.0047186608052182,0.00010124024255363032,8.418219508457304e-05,0.00020678720531431454,0.0003053748198246324,0.00021171046878581745,-3.027811731041727e-05,-0.00042131684876962964,0.3307772020725389
-0.0011181159253185091,-0.005444114554745683,0.0001182161839522276,8.041942756781617e-05,0.00024264250256086594,0.0003425878956896445,0.00024722278831681754,-1.755128643416739e-05,-0.0004917344964416248,0.3544041450777202
-0.001286834620077394,-0.006234339430564571,0.00013670854554696224,7.6311864166308e-05,0.00028170124095382794,0.00038311833577343586,0.00028590734450744624,-3.678957543932307e-06,-0.0005684422729859884,0.3780310880829016
-0.0014716716321777883,-0.007105062682316823,0.0001568628481252586,7.441196724677866e-05,0.00032410000078458883,0.0004293080028843993,0.0003280667112414725,8.874027883929313e-06,-0.0006520768699703617,0.40165803108808296
-0.0016752485181024195,-0.008074400429622406,0.00017884431409141856,7.768833821767337e-05,0.00036998919089842227,0.0004838710465515178,0.00037404437661419895,1.7238846358965815e-05,-0.0007433620812860139,0.42528497409326427
-0.0019004733222836117,-0.009162511622519093,0.00020283490227225823,8.946675554692391e-05,0.0004195307250026029,0.0005498407434773211,0.0004242185825161776,1.8199839965443933e-05,-0.0008430957407296251,0.44891191709844563
-0.0021505052724814255,-0.010391349625138343,0.0002290311758562054,0.00011338788707609885,0.00047289634374895345,0.0006305313585619096,0.00047899789503807544,8.235499895736002e-06,-0.0009521403311224593,0.472538860103627
-0.002428728871502837,-0.011784480012155926,0.000257642735759443,0.0001533763074317785,0.0005302663758364164,0.0007295101911456801,0.0005388179495490745,-1.6451508872889213e-05,-0.001071416085066057,0.4961658031088083
-0.0027365189542957824,-0.013346075327469066,0.0002888676869442139,0.00020822104715991887,0.0005921363535799434,0.0008462981384427751,0.0006040939985000715,-5.455047564428534e-05,-0.001201729831899483,0.5197927461139897
-0.0030649154272185306,-0.014982532307393243,0.0003228041220484609,0.0002513165623917519,0.0006604699081798519,0.0009603050702200936,0.0006750502097475488,-7.951492470512467e-05,-0.0013431484569043982,0.543419689119171
-0.0033923763795519163,-0.016558556131438414,0.0003594063320831859,0.00026247659511869395,0.0007368181687417745,0.0010642242414894032,0.0007515392860826397,-7.414819593367207e-05,-0.0014950125392902299,0.5670466321243524
-0.0036917504045456333,-0.018082114477186457,0.00039842576131945084,0.0003002504046153632,0.0008176462960740687,0.001214372061117908,0.000832771861093356,-9.681277462150912e-05,-0.001656359919306021,0.5906735751295338
