@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
--- 第7个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第8个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第9个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: 0.00305286 , y: -0.164166 , theta: -0.0359419
--- 第1个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第2个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第3个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第4个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第5个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第6个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第7个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第8个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第9个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00294714 , y: -0.161715 , theta: -0.0333248
--- 第1个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第2个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第3个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第4个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第5个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第6个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第7个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第8个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第9个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00894714 , y: -0.15932 , theta: -0.0307245
--- 第1个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第2个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第3个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第4个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第5个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第6个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第7个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第8个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第9个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0149471 , y: -0.15698 , theta: -0.0281404
--- 第1个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第2个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第3个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第4个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第5个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第6个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第7个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第8个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第9个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0209471 , y: -0.154694 , theta: -0.0255718
--- 第1个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第2个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第3个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第4个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第5个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第6个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第7个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第8个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第9个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0269471 , y: -0.152462 , theta: -0.0230185
--- 第1个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第2个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第3个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第4个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第5个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第6个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第7个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第8个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第9个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0329471 , y: -0.150284 , theta: -0.0204804
--- 第1个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第2个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第3个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第4个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第5个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第6个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第7个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第8个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第9个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0389471 , y: -0.148158 , theta: -0.0179575
--- 第1个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第2个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第3个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第4个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第5个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第6个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第7个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第8个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第9个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0449471 , y: -0.146086 , theta: -0.0154491
--- 第1个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第2个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第3个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第4个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第5个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第6个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第7个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第8个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第9个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0509471 , y: -0.144065 , theta: -0.0129547
--- 第1个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第2个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第3个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第4个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第5个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第6个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第7个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第8个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第9个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0569471 , y: -0.142096 , theta: -0.0104741
--- 第1个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第2个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第3个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第4个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第5个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第6个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第7个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第8个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第9个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0629471 , y: -0.140179 , theta: -0.00800728
--- 第1个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第2个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第3个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第4个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第5个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第6个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第7个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第8个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第9个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0689471 , y: -0.138313 , theta: -0.00555403
--- 第1个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第2个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第3个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第4个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第5个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第6个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第7个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第8个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第9个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0749471 , y: -0.136497 , theta: -0.00311408
--- 第1个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第2个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第3个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第4个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第5个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第6个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第7个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第8个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第9个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0809471 , y: -0.134731 , theta: -0.000686743
--- 第1个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第2个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第3个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第4个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第5个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第6个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第7个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第8个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第9个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0869471 , y: -0.133016 , theta: 0.00172811
--- 第1个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第2个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第3个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第4个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第5个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第6个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第7个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第8个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第9个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0929471 , y: -0.13135 , theta: 0.00413056
--- 第1个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第2个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第3个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第4个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第5个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第6个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第7个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第8个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第9个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.0989471 , y: -0.129733 , theta: 0.00652067
--- 第1个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第2个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第3个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第4个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第5个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第6个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第7个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第8个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
--- 第9个点: x: -0.152947 , y: -0.117352 , theta: 0.027522
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.104947 , y: -0.128165 , theta: 0.00889862
--- 第1个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第2个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第3个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第4个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第5个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第6个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第7个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
--- 第8个点: x: -0.152947 , y: -0.117352 , theta: 0.027522
--- 第9个点: x: -0.158947 , y: -0.116214 , theta: 0.0298029
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.110947 , y: -0.126646 , theta: 0.0112651
--- 第1个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第2个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第3个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第4个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第5个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第6个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
--- 第7个点: x: -0.152947 , y: -0.117352 , theta: 0.027522
--- 第8个点: x: -0.158947 , y: -0.116214 , theta: 0.0298029
--- 第9个点: x: -0.164947 , y: -0.115121 , theta: 0.0320738
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.116947 , y: -0.125175 , theta: 0.0136203
--- 第1个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第2个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第3个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第4个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第5个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
--- 第6个点: x: -0.152947 , y: -0.117352 , theta: 0.027522
--- 第7个点: x: -0.158947 , y: -0.116214 , theta: 0.0298029
--- 第8个点: x: -0.164947 , y: -0.115121 , theta: 0.0320738
--- 第9个点: x: -0.170947 , y: -0.114075 , theta: 0.034335
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.122947 , y: -0.123753 , theta: 0.0159643
--- 第1个点: x: -0.128947 , y: -0.122378 , theta: 0.0182971
--- 第2个点: x: -0.134947 , y: -0.121051 , theta: 0.0206187
--- 第3个点: x: -0.140947 , y: -0.119771 , theta: 0.0229299
--- 第4个点: x: -0.146947 , y: -0.118538 , theta: 0.025231
--- 第5个点: x: -0.152947 , y: -0.117352 , theta: 0.027522
--- 第6个点: x: -0.158947 , y: -0.116214 , theta: 0.0298029
--- 第7个点: x: -0.164947 , y: -0.115121 , theta: 0.0320738
--- 第8个点: x: -0.170947 , y: -0.114075 , theta: 0.034335
--- 第9个点: x: -0.176947 , y: -0.113075 , theta: 0.0365872
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
