loop_cont , time_coordinate , robot_x_ , robot_y_ , robot_yaw , robot_speed_x , robot_speed_y , robot_angvel , world_speed_x , world_speed_y , world_angvel , loop_time_cost , loop_x_Tcost , loop_y_Tcost , loop_theta_Tcost , loop_acc_x_Tcost , loop_acc_y_Tcost , loop_acc_theta_Tcost
1,45.00400000000001910,-0.00192786643797670,0.00235755073983063,-0.00830552615382502,0.01880556603889014,-0.00742800492055863,-0.05932715167269446,-0.01564324711190836,-0.00121394649805007,0.01679535599411175,0.00399999999990541,42.65135654570853774,33.43802811845134215,87.79731781556904480,0.00000000000000000,0.00000000000000000,0.00000000000000000
2,45.00799999999992451,-0.00192786643797670,0.00235755073983063,-0.00830552615382502,0.02988043000231697,0.00258124839440298,-0.11491172038590065,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00399999999990541,70.45560480379498358,55.16381635328438904,144.97079608219613078,0.00000000000000000,0.00000000000000000,0.00000000000000000
3,45.10800000000006094,-0.00118981737962956,0.00144952491246969,-0.00809178046790596,0.04149165206320964,0.02252805036472350,-0.18670843919445565,0.00738049058347144,-0.00908025827360934,0.00213745685919064,0.00400000000013279,111.12604709828931959,86.91821130947792540,228.61124865066472012,0.00000000000000000,0.00000000000000000,0.00000000000000000
4,45.20799999999996999,0.00071109348017593,-0.00151455130056929,-0.01245730605477943,0.05067210409512182,0.05938793017337245,-0.25922479946171750,0.01900910859805484,-0.02964076213038982,-0.04365525586873477,0.00399999999990541,168.52574552268922048,132.21368570196665360,346.86257447834464074,0.00000000000000000,0.00000000000000000,0.00000000000000000
5,45.30800000000010641,0.00388614317426270,-0.00264536526582502,-0.02514432840158487,0.05637126039119036,0.09042668495428267,-0.32047448065760964,0.03175049694086775,-0.01130813965255730,-0.12687022346805435,0.00400000000013279,246.56489043157444030,194.11332483098556168,507.70978060194124737,0.00000000000000000,0.00000000000000000,0.00000000000000000
6,45.40800000000001546,0.00663108925020051,-0.00424254667703202,-0.04072970502364413,0.06801088274509791,0.12951156448959922,-0.38842886582482561,0.02744946075937809,-0.01597181411207001,-0.15585376622059263,0.00399999999990541,348.23567738714166353,275.32846570465676450,717.04972856391032110,0.00000000000000000,0.00000000000000000,0.00000000000000000
7,45.50900000000012824,0.01434757034174563,-0.00280364130822995,-0.06394609454918201,0.05389936389223629,0.15432602980352439,-0.44762447487804702,0.07716481091545117,0.01438905368802073,-0.23216389525537881,0.00400000000013279,475.52508761738602061,376.43661872549506597,979.82355591273415030,0.00000000000000000,0.00000000000000000,0.00000000000000000
8,45.61000000000001364,0.02148795996169947,0.00025984069079489,-0.08529137939471162,0.04784010851649174,0.17440878704432022,-0.52793975797203774,0.07140389619953842,0.03063481999024836,-0.21345284845529611,0.00499999999988177,631.04249117868891972,499.21575075909851194,1300.68144202560142730,0.00000000000000000,0.00000000000000000,0.00000000000000000
9,45.70899999999994634,0.02561167328322819,0.00095761082027657,-0.10477767745252038,0.06159160701624809,0.20000000000000001,-0.62806537868056156,0.04123713321528714,0.00697770129481679,-0.19486298057808757,0.00499999999988177,814.19620451265336669,645.73651173436269346,1679.10236874072165847,0.00000000000000000,0.00000000000000000,0.00000000000000000
10,45.80900000000008276,0.03061885115250252,-0.00071262675505636,-0.12927091730754456,0.07019245512469194,0.20000000000000001,-0.72300083663618919,0.05007177869274335,-0.01670237575332922,-0.24493239855024176,0.00500000000010914,1022.68337445066629243,815.53034811157704098,2109.87072893710819699,0.00000000000000000,0.00000000000000000,0.00000000000000000
