base_y_base_x,base_theta_base_y,base_link_base_theta,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
-2.83405e-21,-2.33549e-19,-1.06917e-19,1.29111e-19,6.25685e-19,2.52923e-18,2.67986e-18,1.68316e-18,8.18398e-19,-5.55067e-18
-3.7581370443514287e-06,-0.00029266816750249044,-9.630587110852664e-05,0.0001163379989751327,0.0005636235397078557,0.002278274537802065,0.0024140809875576514,0.0015162107541987914,0.0007370927159562654,-0.005000000000000005
-1.5032548177405698e-05,-0.0011706726700099605,-0.00038522348443410613,0.0004653519959005302,0.0022544941588314204,0.009113098151208247,0.009656323950230592,0.006064843016795158,0.0029483708638250576,-0.019999999999999993
-3.2650353519548976e-05,-0.0025426744741087514,-0.0008366966666177468,0.0010107339752296182,0.004896710153521531,0.019793442388065415,0.020973316496546733,0.013172701407773152,0.00640379461117014,-0.04343954615575192
-5.101712088270323e-05,-0.003973002342326919,-0.001307362719899337,0.0015793010438208853,0.007651251116781756,0.030927825709211636,0.032771413098938454,0.020582726605693467,0.01000611413259159,-0.06787554615575188
-6.938386319700234e-05,-0.005403331482371495,-0.001778028777065356,0.0021478681171045624,0.010405789582731643,0.042062209122250435,0.044569516098809644,0.027992758164878288,0.01360843368374315,-0.09231154635742328
-8.775051800437912e-05,-0.006833664978378545,-0.0022486948303469478,0.0027164351856958317,0.013160319290414123,0.053196592443396695,0.0563676408401458,0.035402811501743014,0.017210753205164613,-0.11674754635742332
-0.0001061171728117559,-0.008263998474385595,-0.00271936088362854,0.0032850022542871005,0.015914848998096604,0.06433097576454296,0.06816576558148195,0.04281286483860774,0.020813072726586074,-0.14118354635742336
-0.00012448382761913267,-0.009694331970392645,-0.0031900269369101314,0.0038535693228783697,0.018669378705779085,0.07546535908568922,0.07996389032281809,0.05022291817547247,0.02441539224800754,-0.1656195463574234
-0.0001428506864803524,-0.011124669192736233,-0.0036606929512577623,0.004422138622251589,0.02142393242010078,0.08659980494876299,0.09176202364229025,0.057632981729802316,0.02801772590318703,-0.19005554795247281
-0.00016121764401144417,-0.012555008110285756,-0.00413135890058987,0.004990708964490191,0.024178497684955697,0.09773428051762531,0.1035601600356574,0.06504304959253841,0.03162006616573887,-0.21449154795247294
-0.00017958460154253596,-0.013985347027835283,-0.004602024849921978,0.005559279306728795,0.02693306294981062,0.10886875608648766,0.11535829642902462,0.07245311745527452,0.03522240642829071,-0.2389275479524731
-0.00019795153064610898,-0.015415683731573057,-0.005072690398106603,0.006127848768960786,0.02968762395127812,0.12000320132883756,0.12715641783506032,0.07986317712232664,0.0388247411153086,-0.26336354286430247
-0.0002163182766762098,-0.01684600617834358,-0.005543353741458241,0.006696412563942414,0.03244215749649291,0.1311374361257652,0.13895444650815242,0.08727318779470483,0.04242703989583849,-0.28779954286430226
-0.00023468502270631067,-0.018276328625114104,-0.006014017084809881,0.0072649763589240435,0.03519669104170771,0.14227167092269283,0.15075247518124454,0.09468319846708304,0.04602933867636841,-0.31223554286430205
-0.00025305176873641146,-0.019706651071884622,-0.006484680428161518,0.007833540153905671,0.0379512245869225,0.15340590571962046,0.16255050385433661,0.10209320913946121,0.049631637456898296,-0.3366715428643018
-0.0002714186372953492,-0.021136967232078988,-0.006955346911417848,0.008402115656203708,0.04070577650827158,0.16454021479561942,0.17434861123482348,0.10950330090292507,0.05323396026920165,-0.3611075475966436
-0.0002897855948264407,-0.022567278010522093,-0.00742601567466059,0.008970700067995507,0.043460341773126465,0.175674577808056,0.18614677576729693,0.1169134531829803,0.05683630053175345,-0.38554354759664344
-0.0003081525523575323,-0.0239975887889652,-0.007896684437903333,0.009539284479787302,0.046214907037981354,0.1868089408204926,0.19794494029977036,0.12432360546303552,0.06043864079430524,-0.40997954759664323
-0.00032651950316134147,-0.025427899480924374,-0.008367353116358708,0.010107868464363812,0.048969471416806416,0.19794330370446722,0.20974310209049535,0.1317337535620353,0.06404098021971744,-0.4344155443770442
-0.00034488596780361884,-0.026858221927694916,-0.008838019273588592,0.010676412562197788,0.05172397682323887,0.20907781988921872,0.22154113076358764,0.1391435391241546,0.06764327900024739,-0.45885154437704434
-0.0003632524324458963,-0.028288544374465468,-0.009308685430818479,0.011244956660031766,0.054478482229671346,0.2202123360739703,0.23333915943668,0.14655332468627394,0.07124557778077736,-0.4832875443770446
-0.00038161889708817373,-0.029718866821236017,-0.009779351588048362,0.011813500757865743,0.05723298763610382,0.23134685225872187,0.2451371881097723,0.15396311024839332,0.07484787656130734,-0.5077235443770449
-0.000399985588404062,-0.031149196951475173,-0.010250012592913258,0.01238206071101311,0.05998752064049215,0.2424813002445203,0.25693528016003053,0.1613730636265561,0.0784501946928233,-0.5321595476315839
-0.00041835254593515416,-0.03257953586902473,-0.010720667286602814,0.012950639494983644,0.06274208590534713,0.2536156632569573,0.2687334446925043,0.16878321590661155,0.0820525349553752,-0.5565955476315845
-0.00043671950346624614,-0.03400987478657427,-0.011191321980292365,0.013519218278954175,0.06549665117020208,0.2647500262693941,0.28053160922497805,0.17619336818666695,0.08565487521792708,-0.5810315476315849
-0.0004550864609973381,-0.03544021370412381,-0.011661976673981918,0.014087797062924706,0.06825121643505702,0.27588438928183096,0.2923297737574517,0.18360352046672235,0.08925721548047898,-0.6054675476315853
-0.00047345322453961887,-0.03687053751466687,-0.012132651754005092,0.01465636984165881,0.0710057526066427,0.2870186346949408,0.30412781367963504,0.19101359448195737,0.09285946698107671,-0.6299035431156551
