@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
--- 第4个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第5个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第6个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第7个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第8个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第9个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000106117 , y: -0.008264 , theta: -0.00271936
--- 第1个点: x: -0.000124484 , y: -0.00969433 , theta: -0.00319003
--- 第2个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
--- 第3个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第4个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第5个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第6个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第7个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第8个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第9个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000124484 , y: -0.00969433 , theta: -0.00319003
--- 第1个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
--- 第2个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第3个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第4个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第5个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第6个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第7个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第8个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第9个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000142851 , y: -0.0111247 , theta: -0.00366069
--- 第1个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第2个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第3个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第4个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第5个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第6个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第7个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第8个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第9个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000161218 , y: -0.012555 , theta: -0.00413136
--- 第1个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第2个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第3个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第4个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第5个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第6个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第7个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第8个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第9个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000179585 , y: -0.0139853 , theta: -0.00460202
--- 第1个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第2个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第3个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第4个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第5个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第6个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第7个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第8个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第9个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000197952 , y: -0.0154157 , theta: -0.00507269
--- 第1个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第2个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第3个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第4个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第5个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第6个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第7个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第8个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第9个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000216318 , y: -0.016846 , theta: -0.00554335
--- 第1个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第2个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第3个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第4个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第5个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第6个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第7个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第8个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第9个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000234685 , y: -0.0182763 , theta: -0.00601402
--- 第1个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第2个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第3个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第4个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第5个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第6个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第7个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第8个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第9个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000253052 , y: -0.0197067 , theta: -0.00648468
--- 第1个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第2个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第3个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第4个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第5个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第6个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第7个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第8个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第9个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000271419 , y: -0.021137 , theta: -0.00695535
--- 第1个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第2个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第3个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第4个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第5个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第6个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第7个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第8个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第9个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000289786 , y: -0.0225673 , theta: -0.00742602
--- 第1个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第2个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第3个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第4个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第5个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
